study_link_id	de_identification_method_type	license	image_modality	imaging_equipment_manufacturer	imaging_equipment_model	imaging_sofware	imaging_protocol	organ_or_tissue	tumor_tissue_type	tissue_fixative	embedding_medium	staining_method	objective	nominal_magnification	immersion	lens_numerical_aperture	working_distance	imaging_assay_type	pyramid	physical_size_x	physical_size_y	physical_size_z	size_c	size_t	size_x	size_y	size_z	channel_metadata_file_url_in_cds	type	file.file_id
img_019	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621b6208-7e68-11ee-a6ba-03435defd2e2
img_020	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621b85bc-7e68-11ee-b320-4f93be2ec3d9
img_021	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621ba948-7e68-11ee-9682-43880087b371
img_022	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621bcefa-7e68-11ee-90cc-77b982a9171d
img_023	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621bf40c-7e68-11ee-8dc1-ff9afcd4a994
img_024	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Paraspinal	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621c1734-7e68-11ee-a827-73b02f234963
img_025	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621c3aa2-7e68-11ee-b0a2-1329ee2fbb61
img_026	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621c5f64-7e68-11ee-bf44-03bec38d2255
img_027	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Mediastinum NOS	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/neuroblastoma/Channel-level_Metadata_HTAPP_NB_level2_panel18.csv	image	dg.4DFC/621c834a-7e68-11ee-a094-e7525bfada5c
img_028	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	Aperio ScanScope XT	Aperio ScanScope XT	Aperio ScanScope XT Controller	https://www.protocols.io/view/htapp-multi-assay-sectioning-of-oct-embedded-sampl-bk95kz86, https://www.protocols.io/view/htapp-hematoxylin-and-eosin-h-e-staining-protocol-8pphvmn	Breast NOS	Metastatic	unknown	Unknown	Hematoxylin and Eosin Staining Method		20															image	dg.4DFC/621caaf0-7e68-11ee-893a-0bc94379ae4e
img_029	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	Aperio ScanScope XT	Aperio ScanScope XT	Aperio ScanScope XT Controller	https://www.protocols.io/view/htapp-multi-assay-sectioning-of-oct-embedded-sampl-bk95kz86, https://www.protocols.io/view/htapp-hematoxylin-and-eosin-h-e-staining-protocol-8pphvmn	Breast NOS	Metastatic	unknown	Unknown	Hematoxylin and Eosin Staining Method		20															image	dg.4DFC/621ccf44-7e68-11ee-83e1-f355e85701b6
img_030	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621cf848-7e68-11ee-b3c9-5fb191bf85bf
img_031	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621d1cf6-7e68-11ee-b443-af3972d27824
img_032	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621d40b4-7e68-11ee-b9da-f7e81e6d8c0c
img_033	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621d64d6-7e68-11ee-bce9-fb446a49d130
img_034	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Primary	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621d8a38-7e68-11ee-82bd-ef84a2cd1f8d
img_035	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621dad9c-7e68-11ee-82bf-130856334f91
img_036	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621dd1aa-7e68-11ee-8f69-c7388467c1cd
img_037	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621df4f0-7e68-11ee-85c2-4f99ad1c38bd
img_038	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621e1872-7e68-11ee-b1b0-df76547b24c8
img_039	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621e3d5c-7e68-11ee-8b16-478774fe3324
img_040	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Lower-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621e6598-7e68-11ee-9b3c-676ac906b7b9
img_041	Manual	CC BY 4.0    https://creativecommons.org/licenses/by/4.0/	SM	MIBI (Nolan)	MIBI (Nolan)	combine_tiffs-darwin-v0.2-5-g2ec3737	dx.doi.org/10.17504/protocols.io.2fbgbin	Upper-outer quadrant of breast	Metastatic	Formalin	Unknown			Not Applicable			Not Applicable	MIBI	False	0.48828125	0.48828125	0.48828125	49.0	1.0	1024.0	1024.0	1.0	s3://cds-290-htan-x6gj-xr09/v23.3.1.img/htan-dcc-htapp/mibi_auxiliary_files/MBC/Channel-level_Metadata_HTAPP_MBC_level2_panel18.csv	image	dg.4DFC/621e8956-7e68-11ee-8611-aba4d8e98404
