reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	type	genomic_info_id	file.file_id	instrument_model
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c5fc9d8-c9b2-11ed-8e94-ffa6d9ab0a7c	dg.4DFC/9c5fc9d8-c9b2-11ed-8e94-ffa6d9ab0a7c	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c600b96-c9b2-11ed-8fce-670c6075bb59	dg.4DFC/9c600b96-c9b2-11ed-8fce-670c6075bb59	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6049d0-c9b2-11ed-9838-db49ba91af4b	dg.4DFC/9c6049d0-c9b2-11ed-9838-db49ba91af4b	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c608d14-c9b2-11ed-a179-bf50ff1a73c3	dg.4DFC/9c608d14-c9b2-11ed-a179-bf50ff1a73c3	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c60cd88-c9b2-11ed-84a8-67b49abc9355	dg.4DFC/9c60cd88-c9b2-11ed-84a8-67b49abc9355	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c610cda-c9b2-11ed-8dbc-9793503314a5	dg.4DFC/9c610cda-c9b2-11ed-8dbc-9793503314a5	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c614c7c-c9b2-11ed-940c-e3c63d9e0a29	dg.4DFC/9c614c7c-c9b2-11ed-940c-e3c63d9e0a29	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c618b38-c9b2-11ed-b847-c7af5a3ccb8d	dg.4DFC/9c618b38-c9b2-11ed-b847-c7af5a3ccb8d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c61cc10-c9b2-11ed-9e94-33af4d15535f	dg.4DFC/9c61cc10-c9b2-11ed-9e94-33af4d15535f	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c620ae0-c9b2-11ed-a02e-f79a20db6c1e	dg.4DFC/9c620ae0-c9b2-11ed-a02e-f79a20db6c1e	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c624a5a-c9b2-11ed-88de-c7df27ebdbd7	dg.4DFC/9c624a5a-c9b2-11ed-88de-c7df27ebdbd7	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c628a1a-c9b2-11ed-b831-c79335785264	dg.4DFC/9c628a1a-c9b2-11ed-b831-c79335785264	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c62c980-c9b2-11ed-b129-df482faac082	dg.4DFC/9c62c980-c9b2-11ed-b129-df482faac082	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6309ea-c9b2-11ed-aebd-5354d4eeaf97	dg.4DFC/9c6309ea-c9b2-11ed-aebd-5354d4eeaf97	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c63495a-c9b2-11ed-b23b-d7bb0622e5fd	dg.4DFC/9c63495a-c9b2-11ed-b23b-d7bb0622e5fd	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6387c6-c9b2-11ed-91cb-1f953133fb20	dg.4DFC/9c6387c6-c9b2-11ed-91cb-1f953133fb20	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c63c916-c9b2-11ed-b25a-7fe53d7ff613	dg.4DFC/9c63c916-c9b2-11ed-b25a-7fe53d7ff613	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c64087c-c9b2-11ed-b311-3be7f4ea0f06	dg.4DFC/9c64087c-c9b2-11ed-b311-3be7f4ea0f06	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6448aa-c9b2-11ed-9747-cb40a331051c	dg.4DFC/9c6448aa-c9b2-11ed-9747-cb40a331051c	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c648720-c9b2-11ed-ae18-5fe465ff9170	dg.4DFC/9c648720-c9b2-11ed-ae18-5fe465ff9170	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c64c60e-c9b2-11ed-8361-bb47bd17b4f5	dg.4DFC/9c64c60e-c9b2-11ed-8361-bb47bd17b4f5	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c65060a-c9b2-11ed-8a09-1f01c04169c9	dg.4DFC/9c65060a-c9b2-11ed-8a09-1f01c04169c9	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c654598-c9b2-11ed-b2d8-b778f4f88825	dg.4DFC/9c654598-c9b2-11ed-b2d8-b778f4f88825	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c65871a-c9b2-11ed-888a-b7edbf361f8a	dg.4DFC/9c65871a-c9b2-11ed-888a-b7edbf361f8a	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c65c5c2-c9b2-11ed-be26-9f71cce9d67e	dg.4DFC/9c65c5c2-c9b2-11ed-be26-9f71cce9d67e	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6605dc-c9b2-11ed-ae95-b32a3615799b	dg.4DFC/9c6605dc-c9b2-11ed-ae95-b32a3615799b	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c664b28-c9b2-11ed-9e37-dfb2e02855e7	dg.4DFC/9c664b28-c9b2-11ed-9e37-dfb2e02855e7	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6689ee-c9b2-11ed-bc1a-0fc75ff745fc	dg.4DFC/9c6689ee-c9b2-11ed-bc1a-0fc75ff745fc	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c66cc92-c9b2-11ed-80e5-57fc84c2f90e	dg.4DFC/9c66cc92-c9b2-11ed-80e5-57fc84c2f90e	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c670c48-c9b2-11ed-9357-6bd5bc4a528f	dg.4DFC/9c670c48-c9b2-11ed-9357-6bd5bc4a528f	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c674e7e-c9b2-11ed-8271-af0610b521ac	dg.4DFC/9c674e7e-c9b2-11ed-8271-af0610b521ac	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c678cb8-c9b2-11ed-a0ea-ab7a44680176	dg.4DFC/9c678cb8-c9b2-11ed-a0ea-ab7a44680176	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c67cc78-c9b2-11ed-92ac-5b84c3e0d61d	dg.4DFC/9c67cc78-c9b2-11ed-92ac-5b84c3e0d61d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c680c10-c9b2-11ed-b07d-7b4879aa583d	dg.4DFC/9c680c10-c9b2-11ed-b07d-7b4879aa583d	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c684e1e-c9b2-11ed-8fa7-9bd66e35f115	dg.4DFC/9c684e1e-c9b2-11ed-8fa7-9bd66e35f115	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c688ffa-c9b2-11ed-9d64-7f076d07e5e6	dg.4DFC/9c688ffa-c9b2-11ed-9d64-7f076d07e5e6	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c68ce52-c9b2-11ed-8493-efc9ddde8d85	dg.4DFC/9c68ce52-c9b2-11ed-8493-efc9ddde8d85	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c690c50-c9b2-11ed-9d40-47d25e3fd606	dg.4DFC/9c690c50-c9b2-11ed-9d40-47d25e3fd606	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c694bf2-c9b2-11ed-b23e-fff964aed361	dg.4DFC/9c694bf2-c9b2-11ed-b23e-fff964aed361	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c698b44-c9b2-11ed-b4b5-cf573bdf660d	dg.4DFC/9c698b44-c9b2-11ed-b4b5-cf573bdf660d	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c69ccf8-c9b2-11ed-adcb-e70026ce7e54	dg.4DFC/9c69ccf8-c9b2-11ed-adcb-e70026ce7e54	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6a0ca4-c9b2-11ed-9ee9-13e07a82dd9e	dg.4DFC/9c6a0ca4-c9b2-11ed-9ee9-13e07a82dd9e	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6a4d0e-c9b2-11ed-9616-df00505bcdb0	dg.4DFC/9c6a4d0e-c9b2-11ed-9616-df00505bcdb0	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6a8be8-c9b2-11ed-8065-ebf6a48af0e4	dg.4DFC/9c6a8be8-c9b2-11ed-8065-ebf6a48af0e4	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6aca90-c9b2-11ed-92f5-3fd83a5d511e	dg.4DFC/9c6aca90-c9b2-11ed-92f5-3fd83a5d511e	Not specified in data
GRCh37-lite	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6b0c80-c9b2-11ed-9494-e78dc281c1ba	dg.4DFC/9c6b0c80-c9b2-11ed-9494-e78dc281c1ba	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6b4b3c-c9b2-11ed-8af6-c75a9d9bb2a2	dg.4DFC/9c6b4b3c-c9b2-11ed-8af6-c75a9d9bb2a2	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6b8dea-c9b2-11ed-8421-3f958740de0f	dg.4DFC/9c6b8dea-c9b2-11ed-8421-3f958740de0f	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6bcd0a-c9b2-11ed-9db5-37b188839b51	dg.4DFC/9c6bcd0a-c9b2-11ed-9db5-37b188839b51	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6c0c0c-c9b2-11ed-acc1-b3251fde93d6	dg.4DFC/9c6c0c0c-c9b2-11ed-acc1-b3251fde93d6	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6c4dca-c9b2-11ed-80bd-f7bdab591d1b	dg.4DFC/9c6c4dca-c9b2-11ed-80bd-f7bdab591d1b	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6c9352-c9b2-11ed-ace6-1b84029894e2	dg.4DFC/9c6c9352-c9b2-11ed-ace6-1b84029894e2	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6cd57e-c9b2-11ed-9b39-cb3f8159d24d	dg.4DFC/9c6cd57e-c9b2-11ed-9b39-cb3f8159d24d	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6d15e8-c9b2-11ed-97f3-d39b509a0133	dg.4DFC/9c6d15e8-c9b2-11ed-97f3-d39b509a0133	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6d54c2-c9b2-11ed-af2f-b304e5e702b9	dg.4DFC/9c6d54c2-c9b2-11ed-af2f-b304e5e702b9	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6d95c2-c9b2-11ed-8a1d-77b0a773cec5	dg.4DFC/9c6d95c2-c9b2-11ed-8a1d-77b0a773cec5	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6dd424-c9b2-11ed-9f06-c3012e367c6e	dg.4DFC/9c6dd424-c9b2-11ed-9f06-c3012e367c6e	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6e14ac-c9b2-11ed-b4cc-fb75ba655804	dg.4DFC/9c6e14ac-c9b2-11ed-b4cc-fb75ba655804	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6e53e0-c9b2-11ed-82d7-dff98740f3bd	dg.4DFC/9c6e53e0-c9b2-11ed-82d7-dff98740f3bd	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6e94c2-c9b2-11ed-9b3b-4bb61de315cc	dg.4DFC/9c6e94c2-c9b2-11ed-9b3b-4bb61de315cc	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6ed478-c9b2-11ed-8872-332b4cca8c13	dg.4DFC/9c6ed478-c9b2-11ed-8872-332b4cca8c13	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6f1370-c9b2-11ed-bd9d-fbb1fea7c709	dg.4DFC/9c6f1370-c9b2-11ed-bd9d-fbb1fea7c709	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6f52d6-c9b2-11ed-b0f4-130f4a9208be	dg.4DFC/9c6f52d6-c9b2-11ed-b0f4-130f4a9208be	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6f9200-c9b2-11ed-9745-3f9c66b37633	dg.4DFC/9c6f9200-c9b2-11ed-9745-3f9c66b37633	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c6fd99a-c9b2-11ed-a24e-f7f50126b5e6	dg.4DFC/9c6fd99a-c9b2-11ed-a24e-f7f50126b5e6	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c701838-c9b2-11ed-9d60-23ff03333bc0	dg.4DFC/9c701838-c9b2-11ed-9d60-23ff03333bc0	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c7059ec-c9b2-11ed-9446-2b7fc9c6ef05	dg.4DFC/9c7059ec-c9b2-11ed-9446-2b7fc9c6ef05	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c7099f2-c9b2-11ed-adf1-e7d184e93d40	dg.4DFC/9c7099f2-c9b2-11ed-adf1-e7d184e93d40	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c70d8ea-c9b2-11ed-8742-7fdaefc5b6cb	dg.4DFC/9c70d8ea-c9b2-11ed-8742-7fdaefc5b6cb	Not specified in data
GRCh37-lite	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c711d50-c9b2-11ed-82a4-9fe923c6d8bb	dg.4DFC/9c711d50-c9b2-11ed-82a4-9fe923c6d8bb	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c715c3e-c9b2-11ed-9f44-57909e386de5	dg.4DFC/9c715c3e-c9b2-11ed-9f44-57909e386de5	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c719ca8-c9b2-11ed-9796-73527336977a	dg.4DFC/9c719ca8-c9b2-11ed-9796-73527336977a	Not specified in data
GRCh38	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c71de70-c9b2-11ed-8df9-27ebb40824b7	dg.4DFC/9c71de70-c9b2-11ed-8df9-27ebb40824b7	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c721d04-c9b2-11ed-bb1d-cfb9a27bbbf7	dg.4DFC/9c721d04-c9b2-11ed-bb1d-cfb9a27bbbf7	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c725ed6-c9b2-11ed-8b81-ef64a04bac83	dg.4DFC/9c725ed6-c9b2-11ed-8b81-ef64a04bac83	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c729db0-c9b2-11ed-99dc-efaccc077b79	dg.4DFC/9c729db0-c9b2-11ed-99dc-efaccc077b79	Not specified in data
GRCh37	WXS	Not specified in data	Genomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c72e16c-c9b2-11ed-935b-53e23567eb59	dg.4DFC/9c72e16c-c9b2-11ed-935b-53e23567eb59	Not specified in data
GRCh38	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c732064-c9b2-11ed-86ca-877cb677d6cb	dg.4DFC/9c732064-c9b2-11ed-86ca-877cb677d6cb	Not specified in data
GRCh37	RNA-Seq	Not specified in data	Transcriptomic	Not specified in data	Not specified in data	genomic_info	dg.4DFC/9c73602e-c9b2-11ed-bc9a-d7b0f64048e2	dg.4DFC/9c73602e-c9b2-11ed-bc9a-d7b0f64048e2	Not specified in data
