type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	6919-RBL-0074.pdx	ALL-223	NSG	cell suspension	intravenous	tail vein		Yes				2cc13743-5d7c-51b0-8cd2-cb3e70053e03		3bac8cce-b4f3-509f-941d-d8020cd51c27
pdx	6919-RBL-0047_FP.pdx	ALL-120	NSG	cell suspension	intravenous	tail vein		No				2d85b179-82d6-54b8-9fdf-c1125166b70c		79a3112b-ff6a-53dd-99dc-6987aedd09c1
pdx	6919-RBL-0070_2.pdx	ALL-209	NSG	cell suspension	intravenous	tail vein		Yes				2e564a22-53eb-5a97-9384-76d3a6f2475c		c74fa048-902a-5b75-b53b-6b61b2a4d8b0
pdx	6919-RBL-0074_FP.pdx	ALL-223	NSG	cell suspension	intravenous	tail vein		Yes				2ef99765-b53a-535a-8af5-0e62dce19d06		e10fcddb-8c20-5d4e-b99c-e1de2d01ce54
pdx	6919-RBL-0063.pdx	ALL-76	NSG	cell suspension	intravenous	tail vein		Yes				2fc431ab-2f20-5734-a44e-2f1d38c0bb3c		c7e2b42e-ff52-56c8-a8b6-b530c7b3d9c5
pdx	6919-RBL-0060_2.pdx	ALL-92	NSG	cell suspension	intravenous	tail vein		No				312c1752-c35f-5fed-891d-b4e242bb982d		aa77a368-e741-578f-bef6-b2eb39b33e61
pdx	6919-RBL-0151.pdx	ALL-72	NSG	cell suspension	intravenous	tail vein		Yes				31423b62-0e21-53d1-9ea2-3c1f158aabef		92b02786-2311-5295-aaf1-a5f9f555457a
pdx	6919-RBL-0115.pdx	ALL-217	NSG	cell suspension	intravenous	tail vein		Yes				31c99f64-a2fb-5302-8115-d330156aa7b1		6281042e-7fdf-5597-9d00-c1997f5dd571
pdx	6919-RBL-0152.pdx	ALL-211	NSG	cell suspension	intravenous	tail vein		Yes				378d325f-0611-575f-b2d0-f03249d73256		cf9c864a-9ab9-5579-95d4-b3f2d202b730
pdx	6919-RBL-0092.pdx	ALL-44	NSG	cell suspension	intravenous	tail vein		Yes				3af7941e-55fc-5c43-a041-13c24c25fcc0		3937cda4-695a-556d-bdec-98d6e84daa53
pdx	6919-RBL-0065_2.pdx	ALL-101	NSG	cell suspension	intravenous	tail vein		No				3d3a2e15-5091-585b-830f-79d8fdda847a		0b33c862-b099-52fd-821b-0b0c718b0652
pdx	6919-RBL-0065.pdx	ALL-101	NSG	cell suspension	intravenous	tail vein		No				3d9d4c25-f89e-51f5-a6db-d8135bf35ee8		c312c7c1-2bec-52d5-8008-674f3aa59e1f
pdx	6919-RBL-0048_FP.pdx	ALL-225	NSG	cell suspension	intravenous	tail vein		Yes				407248a7-c325-525f-8ee2-e5bb0f664813		cb1aa017-19da-52d1-bb5b-ac728b0e1199
pdx	6919-RBL-0071_FP.pdx	ALL-202	NSG	cell suspension	intravenous	tail vein		Yes				49a69639-438b-5398-8212-7502b56ad238		c52a7011-02b7-56f7-a104-40188c39aa18
pdx	6919-RBL-0050.pdx	ALL-231	NSG	cell suspension	intravenous	tail vein		Yes				4ac4c060-366a-5b6d-ad16-c9e7b027310a		c7f55c52-957f-5196-bcd6-5ae1e9b8ae7f
pdx	6919-RBL-0080_2.pdx	ALL-18	Unknown	cell suspension	intravenous	tail vein		No				4affdfb9-bfe2-5637-9065-21b057048667		8c7f14f1-645d-526d-b1bd-2afea370d062
pdx	6919-RBL-0041_2.pdx	ALL-230	NSG	cell suspension	intravenous	tail vein		Yes				4dda7667-d1d0-50a8-80ef-643478814cb9		38269edc-9378-57c1-bd26-2baebd143628
pdx	6919-RBL-0078.pdx	ALL-34	NSG	cell suspension	intravenous	tail vein		Yes				4f259674-2543-52f5-9fab-a3f69c6a1661		15ecedcf-4a79-5075-8231-feb3fcfc8c64
pdx	6919-RBL-0096.pdx	ALL-227	NSG	cell suspension	intravenous	tail vein		Yes				4f58e9b1-ffe8-5c11-883e-53c53bfa8812		901f47e3-6e28-53c6-932e-8bc7d960fd17
pdx	6919-RBL-0068_FP.pdx	ALL-213	NSG	cell suspension	intravenous	tail vein		Yes				500e36ec-d667-5fc4-9b1a-2169f0e05e1c		c8201877-c315-5592-93a0-50a146c8a3f4
pdx	6919-RBL-0119.pdx	ALL-214	NSG	cell suspension	intravenous	tail vein		Yes				508ad07d-d117-5a99-b8fe-b88c4562b5b3		29bb94f4-b2ea-5899-9d68-ea7ad70cb9ec
pdx	6919-RBL-0055_FP.pdx	ALL-72	NSG	cell suspension	intravenous	tail vein		Yes				5291f435-edd4-569a-bf12-1d564438df6e		ae2cc38c-8775-55a5-be8f-a2df569908b6
pdx	6919-RBL-0045_FP.pdx	ALL-232	NSG	cell suspension	intravenous	tail vein		Yes				55f13d2b-9f06-547f-8cf5-8f1aa17dd7d0		74752fa8-fc3c-5998-8f77-32d501ad5614
pdx	6919-RBL-0076.pdx	ALL-222	NSG	cell suspension	intravenous	tail vein		Yes				56fc05a2-adb5-534e-83e6-6877badcbfa2		62f47196-dd5b-57b1-82c6-525cabc9d8c5
pdx	6919-RBL-0138.pdx	ALL-65	NSG	cell suspension	intravenous	tail vein		Yes				589b65a5-c34b-5e4d-a0ff-c16b33b851f0		6ba76316-cb0b-544c-b8bd-5fe312dc0f47
pdx	6919-RBL-0077_FP.pdx	ALL-14	Unknown	cell suspension	intravenous	tail vein		Yes				5f7fdefc-c99c-5bed-ab9f-d8d22397cd30		d28a63ae-b4e9-56c6-952b-c3dce359507e
pdx	6919-RBL-0046_2.pdx	ALL-228	NSG	cell suspension	intravenous	tail vein		Yes				61aca562-3104-5399-858c-424c5c01e5fb		3a41bf32-51d8-5672-973e-ae229dc54127
pdx	6919-RBL-0147.pdx	ALL-226	NSG	cell suspension	intravenous	tail vein		Yes				622f8540-f438-58e6-8740-9cfb426ef537		f309493f-4799-5a39-ad7b-3165d6e7d7ac
pdx	6919-RBL-0053_FP.pdx	ALL-35	NSG	cell suspension	intravenous	tail vein		Yes				627fafa7-f7d6-5a27-9e9f-fd5c046b3abd		1157555a-3e6a-58eb-8dc3-e96c88b48586
pdx	6919-RBL-0045.pdx	ALL-232	NSG	cell suspension	intravenous	tail vein		Yes				64f2a3ea-8d93-5d94-8cac-37fd98bd3b4d		34811517-881f-5b2e-afef-5fe24b36d810
pdx	6919-RBL-0076_FP.pdx	ALL-222	NSG	cell suspension	intravenous	tail vein		Yes				663dd52c-0d06-5c94-ab2b-2dede768d9b3		06579268-bece-5eaf-9e87-23ac8c182941
pdx	6919-RBL-0073.pdx	ALL-211	NSG	cell suspension	intravenous	tail vein		Yes				673f8cba-5393-5096-b48b-75e04e383daa		9fc292ff-51e8-5ad7-a91a-f079f6ef3917
pdx	6919-RBL-0044_FP.pdx	ALL-220	NSG	cell suspension	intravenous	tail vein		Yes				69cbace4-b907-51d3-9651-e21ea1eed635		84656ff2-6b9d-5f14-8d88-94abdad60c36
pdx	6919-RBL-0088.pdx	ALL-225	NSG	cell suspension	intravenous	tail vein		Yes				69ea6630-7ac7-5c77-84c6-49fb2c7b3259		a568dbad-30f0-57ae-9be0-e42609b4d5da
pdx	6919-RBL-0070_FP.pdx	ALL-209	NSG	cell suspension	intravenous	tail vein		Yes				69f1b5d3-11c4-5851-b56c-75847ea5b45f		3630ecdc-b572-5ece-8999-6ba1d7614478
pdx	6919-RBL-0080.pdx	ALL-18	Unknown	cell suspension	intravenous	tail vein		No				6bcd2fa4-c724-52d5-bd7b-77b961b7a022		9fb67858-038f-59f0-8c3c-aadeba9e2ab4
pdx	6919-RBL-0052_FP.pdx	ALL-44	NSG	cell suspension	intravenous	tail vein		Yes				6dc62775-33b1-5552-874e-a0bd760b85b8		576a45f8-979b-57b3-85d5-45704b0f5be6
pdx	6919-RBL-0071.pdx	ALL-202	NSG	cell suspension	intravenous	tail vein		Yes				6f96f601-f854-5e52-acae-02138146f35f		23848991-c548-51d8-bfa7-19af9ddd6e44
pdx	6919-RBL-0060_FP.pdx	ALL-92	NSG	cell suspension	intravenous	tail vein		No				73cfd840-9092-5804-84be-57b55ea82d79		0c8afd15-b0f2-5a4c-97c4-f126a94df1da
pdx	6919-RBL-0118.pdx	ALL-34	NSG	cell suspension	intravenous	tail vein		Yes				7411e7fb-3bb7-516b-9dfe-9b146d2a5c46		7b288fa9-b689-5c9f-a85a-6a21c5e56d1f
pdx	6919-RBL-0079_FP.pdx	ALL-214	NSG	cell suspension	intravenous	tail vein		Yes				7598f1de-969e-5dd5-9501-94fbce8c04f1		c20938f2-0415-5a25-8635-2984f170e70f
pdx	6919-RBL-0143.pdx	ALL-68	NOD/SCID	cell suspension	intravenous	tail vein		Yes				76924d19-99af-5470-9d4b-973de3e4fccc		76d665ca-935d-5e49-9fa9-b8f0a8c8cd37
pdx	6919-RBL-0148.pdx	ALL-223	NSG	cell suspension	intravenous	tail vein		Yes				76950b66-1d36-5f77-ba17-2045e8df494f		a854fd62-eb6f-5138-83dc-29eac394e445
pdx	6919-RBL-0060.pdx	ALL-92	NSG	cell suspension	intravenous	tail vein		No				77e1355f-fa26-5c51-98cc-37126b8ef927		744e2e84-8f55-5e87-a811-31dff1172444
pdx	6919-RBL-0062_FP.pdx	ALL-77	NSG	cell suspension	intravenous	tail vein		No				78d4556e-a368-5137-86e0-397ba6736a24		97b42461-1ce2-5956-a91d-36ec882d5bb3
pdx	6919-RBL-0108.pdx	ALL-213	NSG	cell suspension	intravenous	tail vein		Yes				79e05965-4d2d-5d48-871b-3bea01773da9		05e6c3de-3341-5ad8-bfef-da1ab854ffd0
pdx	6919-RBL-0070.pdx	ALL-209	NSG	cell suspension	intravenous	tail vein		Yes				7c13790b-0076-5e3a-9298-66214ad77947		a0f2bfc2-6558-5d88-89db-41b8437fa3d7
pdx	6919-RBL-0086.pdx	ALL-228	NSG	cell suspension	intravenous	tail vein		Yes				81ba85d8-2a3b-5ad5-bdb1-ff0761221b67		1ba283ba-d884-5c7d-8fa8-7a2086bdc929
pdx	6919-RBL-0084.pdx	ALL-220	NSG	cell suspension	intravenous	tail vein		Yes				85bcb255-4ac1-5d72-8581-5305e0212fec		4f6a897b-6ca7-5dda-b0fa-cb55e57a878e
pdx	6919-RBL-0048_2.pdx	ALL-225	NSG	cell suspension	intravenous	tail vein		Yes				8a6324ad-0660-52ef-a1b2-6ed68a3a13b0		b776be7b-d79a-5210-9908-2d357c50287c
pdx	6919-RBL-0051_FP.pdx	ALL-206	NSG	cell suspension	intravenous	tail vein		Yes				8bac7726-122b-5f89-97b0-a9f83b70c905		f0423ff8-3f93-5b04-9f6a-9659f029e976
pdx	6919-RBL-0061.pdx	ALL-96	NSG	cell suspension	intravenous	tail vein		Yes				9237c3b7-b9bc-5211-a525-88b320335b47		56c01f0c-8b4c-58c8-9089-204a176357fb
pdx	6919-RBL-0046.pdx	ALL-228	NSG	cell suspension	intravenous	tail vein		Yes				9344aaf5-1cbf-508f-928d-863c4d046659		3baec678-6892-56ef-8cf1-8695f874ecfd
pdx	6919-RBL-0046_FP.pdx	ALL-228	NSG	cell suspension	intravenous	tail vein		Yes				9574af3f-3fb3-5b0e-99e0-7df7fa928158		9db41850-ff7c-5cd8-bcad-2c72a561dd59
pdx	6919-RBL-0053.pdx	ALL-35	NSG	cell suspension	intravenous	tail vein		Yes				9bbfb1fd-7c19-5f93-af9a-902c93064cb9		0602f660-441a-55ce-a79b-20846b0590b3
pdx	6919-RBL-0117.pdx	ALL-14	Unknown	cell suspension	intravenous	tail vein		Yes				9f59b759-b36e-51e0-b1c5-11413952f14b		93c75261-7b10-5262-a8b0-e4de5fb51202
pdx	6919-RBL-0079.pdx	ALL-214	NSG	cell suspension	intravenous	tail vein		Yes				a40eb801-e809-5ffd-a793-bfac86420cc9		9c4b2153-962f-52e2-918c-8a9fa743cc05
pdx	6919-RBL-0102.pdx	ALL-77	NSG	cell suspension	intravenous	tail vein		No				a4d3cc6f-61b0-5f13-8ffa-0dc1bf4eeb8e		e6b2d08e-27a5-5267-9b0e-dbc7262dfc15
pdx	6919-RBL-0043_FP.pdx	ALL-68	NOD/SCID	cell suspension	intravenous	tail vein		Yes				a5cfdff1-fa66-5d8f-b266-0546cf027170		c15bec46-e31a-51ca-9865-55a7b85d04a3
pdx	6919-RBL-0103.pdx	ALL-76	NSG	cell suspension	intravenous	tail vein		Yes				a7b74c52-ae8f-5f68-bc51-de5608cc1554		74b9d11e-6acb-5e69-9521-40417cc23e48
pdx	6919-RBL-0141.pdx	ALL-101	NSG	cell suspension	intravenous	tail vein		No				a9053f6e-4c01-5290-a02e-bf6465a28d1d		31a23764-5fc5-526a-9279-40422e6bfbd8
pdx	6919-RBL-0139.pdx	ALL-92	NSG	cell suspension	intravenous	tail vein		No				aa27d0b8-0967-54a9-9696-ea8c1764f1ed		ed250d69-b743-5b8b-bd7b-bd4692f296d5
pdx	6919-RBL-0087.pdx	ALL-120	NSG	cell suspension	intravenous	tail vein		No				aaa93df8-8bd6-5a04-b6a1-291bd5451e7d		2fbf6346-42ce-54dd-b6e7-c06b6d1986c6
pdx	6919-RBL-0090.pdx	ALL-231	NSG	cell suspension	intravenous	tail vein		Yes				abf5eefb-4986-5edd-bc0d-0cf685845308		228663a4-a851-519f-a8eb-c91e11c5a89f
pdx	6919-RBL-0146.pdx	ALL-36	NOD/SCID	cell suspension	intravenous	tail vein		Yes				ac2b54d3-291c-57bc-925d-699cc560da53		7797c8ec-2ebc-5d22-884c-a2f4c47a7a5e
pdx	6919-RBL-0057_2.pdx	ALL-36	NOD/SCID	cell suspension	intravenous	tail vein		Yes				ae4b0ac1-6ab6-501d-9f7b-00caed9242d5		f2a2c608-1d08-5065-8b53-59c6ca1cccf7
pdx	6919-RBL-0150.pdx	ALL-232	NSG	cell suspension	intravenous	tail vein		Yes				af20515a-db5b-5e57-a6ca-78e4cfdd572c		2416b36c-94a7-507b-b0ba-7d0d72448f73
pdx	6919-RBL-0075_FP.pdx	ALL-217	NSG	cell suspension	intravenous	tail vein		Yes				b1dbcabe-6523-5f1b-b154-5367852b29ad		c12a4193-b458-5854-af90-72c16920ee59
pdx	6919-RBL-0076_2.pdx	ALL-222	NSG	cell suspension	intravenous	tail vein		Yes				b41132fa-5cf4-5283-9104-5739a97bb565		2fccc8dd-a69a-5c8f-bbaf-14fbcbc83535
pdx	6919-RBL-0045_2.pdx	ALL-232	NSG	cell suspension	intravenous	tail vein		Yes				b5b2be2c-ca71-59c9-9621-b4675542ba47		87965941-02a4-5a5c-94cb-ff58956a9c2a
pdx	6919-RBL-0098.pdx	ALL-73	NSG	cell suspension	intravenous	tail vein		Yes				b6eb4897-a1d3-54fb-9311-5a2e336a9985		4803bc5b-703b-5ded-8670-79a9f94ffeec
pdx	6919-RBL-0078_FP.pdx	ALL-34	NSG	cell suspension	intravenous	tail vein		Yes				b823e213-b2f8-5886-9ca8-e8fd5ee08528		e96a20f8-40ab-578a-8b39-8a7f25bc34a6
pdx	6919-RBL-0066.pdx	ALL-226	NSG	cell suspension	intravenous	tail vein		Yes				bd09f88d-da85-58ec-8559-8eb51b1558cd		b56a2068-c24c-52ec-b56f-0dfc32970b60
pdx	6919-RBL-0077_2.pdx	ALL-14	Unknown	cell suspension	intravenous	tail vein		Yes				bef15e2f-c4ec-5d34-add7-adbfcb53a862		afa42f17-8826-50d6-abf9-b96b73b1dea3
pdx	6919-RBL-0112.pdx	ALL-221	NSG	cell suspension	intravenous	tail vein		Yes				c0c2aa37-1206-57b6-b6cf-07de0f3b7028		33dc311d-0d5b-5624-b974-0d2a21ffaf83
pdx	6919-RBL-0042_FP.pdx	ALL-67	NSG	cell suspension	intravenous	tail vein		Yes				c1c191d3-a3f9-59f5-82a4-77bf160a27d7		c18a78c1-35d5-52de-a960-80b1e9ea564e
pdx	6919-RBL-0044.pdx	ALL-220	NSG	cell suspension	intravenous	tail vein		Yes				c3a7c7cf-6fd9-5d98-9e85-5fb308a3b901		b7c60b7f-0334-51dd-8f53-dc3ee562cde0
pdx	6919-RBL-0050_FP.pdx	ALL-231	NSG	cell suspension	intravenous	tail vein		Yes				c7834614-07c4-5efa-8b45-eed9f92e242b		ae7857cb-0f22-5216-a49b-50f148ed8c55
pdx	6919-RBL-0069.pdx	ALL-203	NSG	cell suspension	intravenous	tail vein		Yes				cdb2ff24-5e9a-519c-948d-f2b1bb5ecb3e		51adffdf-d2a0-5ebb-991a-deaddff3210f
pdx	6919-RBL-0048.pdx	ALL-225	NSG	cell suspension	intravenous	tail vein		Yes				d34914f7-7e5d-5519-87ed-05ab5eac2b4b		40a3e1b2-7e52-5b66-a21d-3a509f8696c3
pdx	6919-RBL-0109.pdx	ALL-203	NSG	cell suspension	intravenous	tail vein		Yes				d410d03e-f398-5c6d-a0fd-32996d552608		b03b8e6f-87d6-57c9-b122-703a3c934172
pdx	6919-RBL-0065_FP.pdx	ALL-101	NSG	cell suspension	intravenous	tail vein		No				d56c4ffc-925a-5fb9-ac95-f49dfe2f7346		156a92d2-1a1e-5652-8a31-adb7dd588f22
pdx	6919-RBL-0069_FP.pdx	ALL-203	NSG	cell suspension	intravenous	tail vein		Yes				d5d3249a-bbcd-571c-b8c9-4aa9576ed277		5db64466-4907-5ab7-9422-d3fea2c57197
pdx	6919-RBL-0051.pdx	ALL-206	NSG	cell suspension	intravenous	tail vein		Yes				d6577825-681b-5fcb-9bcd-1990a8713973		d17ac327-3628-585e-b7bd-b9c75bdd15ed
pdx	6919-RBL-0069_2.pdx	ALL-203	NSG	cell suspension	intravenous	tail vein		Yes				d6950189-0b11-5417-b7c0-dc08c4d8ca89		8b2b9865-804f-5095-8e63-1b053a043b7e
pdx	6919-RBL-0057.pdx	ALL-36	NOD/SCID	cell suspension	intravenous	tail vein		Yes				d69ee75c-0f05-5181-bc02-7ddd45b7c8b3		06340081-dc73-5bf6-8ea2-5e3effebf02b
pdx	6919-RBL-0052.pdx	ALL-44	NSG	cell suspension	intravenous	tail vein		Yes				d8488353-229a-5eac-954b-b94c3fbbde46		34a51ec4-e723-5be4-a248-758e9070d28d
pdx	6919-RBL-0049.pdx	ALL-229	NSG	cell suspension	intravenous	tail vein		Yes				d84e480f-6af2-5f4b-b370-815dd6a6bea5		6b3b27d4-d875-529e-8ac2-a91d048f962a
pdx	6919-RBL-0140.pdx	ALL-96	NSG	cell suspension	intravenous	tail vein		Yes				d88745e6-3790-5c49-9af4-36f5afcc10bd		9088950c-8df9-5f94-be6b-eb7883b49d8b
pdx	6919-RBL-0049_2.pdx	ALL-229	NSG	cell suspension	intravenous	tail vein		Yes				d91009bc-f133-504d-a2a2-282f3ae86235		909e71d5-7817-5a59-8a6a-1cf9b0467718
pdx	6919-RBL-0041_FP.pdx	ALL-230	NSG	cell suspension	intravenous	tail vein		Yes				d9d0969d-ccfc-5ecd-be62-064c9d1dcf95		d8ef1128-0d4d-5de9-807d-c8c81569a026
pdx	6919-RBL-0063_FP.pdx	ALL-76	NSG	cell suspension	intravenous	tail vein		Yes				dd03af72-b79e-50aa-b4cc-a34e2b8e9fa3		b20cdec7-ad4e-5c24-929b-62dded126230
pdx	6919-RBL-0054_FP.pdx	ALL-65	NSG	cell suspension	intravenous	tail vein		Yes				debfc173-f8d3-586d-86ba-a9a273bbaf17		a7ad6ace-bbce-5cb0-9d1a-0c6c9b2d497e
pdx	6919-RBL-0075.pdx	ALL-217	NSG	cell suspension	intravenous	tail vein		Yes				dfd0b0be-d199-513d-8a7d-11193430c65b		a7ab40d6-c54e-5b95-ae7a-5e357f7a9bd6
pdx	6919-RBL-0089.pdx	ALL-229	NSG	cell suspension	intravenous	tail vein		Yes				e00e5b27-092e-5e95-9f6f-13c1fef7fc58		40251502-94f0-5f73-ac66-7db1a65e4ff8
pdx	6919-RBL-0055_2.pdx	ALL-72	NSG	cell suspension	intravenous	tail vein		Yes				e1e40a4e-18d5-575b-a589-30291251051a		5ac7c2aa-7967-5744-886d-8255db7115b0
pdx	6919-RBL-0058_FP.pdx	ALL-73	NSG	cell suspension	intravenous	tail vein		Yes				e3bf7ef8-4d4d-5a84-8211-d33a4bbddb89		e9401445-55b9-5877-8c6b-36cf7b1a96b2
pdx	6919-RBL-0149.pdx	ALL-67	NSG	cell suspension	intravenous	tail vein		Yes				e837405b-025e-50c8-bda0-e4dd1911e6ef		6a4e12fb-a062-523a-923a-bf6cddc6a64e
pdx	6919-RBL-0145.pdx	ALL-35	NSG	cell suspension	intravenous	tail vein		Yes				eb76ba57-b750-5a86-b76d-6ee7b3d5283e		193f7fad-5f29-5bfb-985e-02f4c9423a58
pdx	6919-RBL-0080_FP.pdx	ALL-18	Unknown	cell suspension	intravenous	tail vein		No				ee09270c-6f2d-5391-808e-1e37b9643971		597d0e5d-2cd0-5343-91e0-75cbe38bf9b1
pdx	6919-RBL-0056.pdx	ALL-227	NSG	cell suspension	intravenous	tail vein		Yes				ef80502c-ae8b-5998-b7bb-98d123a5599e		cd4b8f09-e18f-5e3c-8b06-1c73944ee6ad
pdx	6919-RBL-0137.pdx	ALL-230	NSG	cell suspension	intravenous	tail vein		Yes				f1089c1e-023c-5ecd-b959-e3bdc5367240		e42603b9-63d1-57c7-9380-8207f89e2db6
