library_id	bases	number_of_reads	avg_read_length	coverage	reference_genome_assembly	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
TB-000001-D1WBLL-01_scRNA_rep1	357384424	44673053	8.0	0.115218836	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/7aea8a97-1c3f-404d-9122-128b2b32efb2_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/7aea8a97-1c3f-404d-9122-128b2b32efb2
TB-000001-D1WBLL-01_scRNA_rep1	1161499378	44673053	26.0	0.374461219	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/401e536a-025e-48ee-98e7-d424d4454096_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/401e536a-025e-48ee-98e7-d424d4454096
TB-000001-D1WBLL-01_scRNA_rep1	4288613088	44673053	96.0	1.382626038	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/e8ae18dc-1039-4e17-b99f-520acfa1e836_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/e8ae18dc-1039-4e17-b99f-520acfa1e836
TB-000001-D1WBLL-01_scRNA_rep2	473094720	59136840	8.0	0.15252322	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/7ef83d76-265e-41ab-82ff-5b1572937dac_TB-000001-D1WBLL-01_scRNA_rep2	dg.4DFC/7ef83d76-265e-41ab-82ff-5b1572937dac
TB-000001-D1WBLL-01_scRNA_rep2	1537557840	59136840	26.0	0.495700466	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/e3668b50-2879-4ec0-8dd4-e71abe74cec0_TB-000001-D1WBLL-01_scRNA_rep2	dg.4DFC/e3668b50-2879-4ec0-8dd4-e71abe74cec0
TB-000001-D1WBLL-01_scRNA_rep2	8929662840	59136840	151.0	2.878875781	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/fa30f1fd-6ae3-4eaa-b52d-a1006be2794f_TB-000001-D1WBLL-01_scRNA_rep2	dg.4DFC/fa30f1fd-6ae3-4eaa-b52d-a1006be2794f
TB-000001-D1WBLL-01_RNAseq	22749045248	172760258	131.6798522	7.33417113	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/f826def0-f307-4344-818d-db4cc21c7b24_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/f826def0-f307-4344-818d-db4cc21c7b24
TB-000001-D1WBLL-01_WES	39524069216	295129964	133.920896	12.74234959	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/d523629e-570b-4e17-913a-3f65872fbd74_TB-000001-D1WBLL-01_WES	dg.4DFC/d523629e-570b-4e17-913a-3f65872fbd74
TB-000001-D1WBLL-01_WGS	123000000000	822556079	150.0988432	39.8043674	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/3ab4d287-cbee-43b7-a46e-1c45db373ef6_TB-000001-D1WBLL-01_WGS	dg.4DFC/3ab4d287-cbee-43b7-a46e-1c45db373ef6
TB-000001-D1WBLL-01_scATAC	1667930692	33700673	49.49250396	0.537731979	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/75ded4b6-b13b-4d6b-932e-fc798df7f159_TB-000001-D1WBLL-01_scATAC	dg.4DFC/75ded4b6-b13b-4d6b-932e-fc798df7f159
TB-000001-D1WBLL-01_scRNA_rep1	7925948988	83367842	95.07201815	2.555283776	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/f0c39c58-ee0c-4fa8-bd6b-dbbb29d08416_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/f0c39c58-ee0c-4fa8-bd6b-dbbb29d08416
TB-000001-D1WBLL-01_scRNA_rep2	8307448872	55846186	148.7558859	2.678277309	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/09a55e4e-9e70-41ca-b714-12bc0a7fe9f0_TB-000001-D1WBLL-01_scRNA_rep2	dg.4DFC/09a55e4e-9e70-41ca-b714-12bc0a7fe9f0
TB-000001-D1WBLL-01_RNAseq	22749045248	172760258	131.6798522	7.33417113	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2f2d9f32-98b1-448f-81fe-13f50adf7c51_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/2f2d9f32-98b1-448f-81fe-13f50adf7c51
TB-000001-D1WBLL-01_WES	39524069216	295129964	133.920896	12.74234959	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/b3dde905-2c4f-4e5d-b7a2-a8d7a9a12fe4_TB-000001-D1WBLL-01_WES	dg.4DFC/b3dde905-2c4f-4e5d-b7a2-a8d7a9a12fe4
TB-000001-D1WBLL-01_WGS	123000000000	822556079	150.0988432	39.8043674	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/d5b2e4df-489a-4a65-93cb-962cbfb7e2a5_TB-000001-D1WBLL-01_WGS	dg.4DFC/d5b2e4df-489a-4a65-93cb-962cbfb7e2a5
TB-000001-D1WBLL-01_scATAC	1667930692	33700673	49.49250396	0.537731979	GRCh37	ATAC-seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	ATAC-seq	Paired-End	Single Nucleus	other	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/fcc40714-cb66-4193-967c-7316db16cad1_TB-000001-D1WBLL-01_scATAC	dg.4DFC/fcc40714-cb66-4193-967c-7316db16cad1
TB-000001-D1WBLL-01_scRNA_rep1	7925948988	83367842	95.07201815	2.555283776	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/98253335-1b6c-4471-870f-9c74ed846a7c_TB-000001-D1WBLL-01_scRNA_rep1	dg.4DFC/98253335-1b6c-4471-870f-9c74ed846a7c
TB-000001-D1WBLL-01_scRNA_rep2	8307448872	55846186	148.7558859	2.678277309	GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic Single Cell	Poly-A Enriched Genomic Library	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9aa7eb45-586f-4e4c-ab85-79b2a488874b_TB-000001-D1WBLL-01_scRNA_rep2	dg.4DFC/9aa7eb45-586f-4e4c-ab85-79b2a488874b
TB-000001-D1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/19cc7e1a-5000-440b-a3f2-836c5fbceaa8_TB-000001-D1WBLL-01_WES	dg.4DFC/19cc7e1a-5000-440b-a3f2-836c5fbceaa8
TB-000001-D1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/d1d98ccc-3181-45bb-b030-d06f685ff5d8_TB-000001-D1WBLL-01_WGS	dg.4DFC/d1d98ccc-3181-45bb-b030-d06f685ff5d8
TB-000001-D1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9ca329f2-b82d-4890-a521-03644301bccb_TB-000001-D1WBLL-01_WES	dg.4DFC/9ca329f2-b82d-4890-a521-03644301bccb
TB-000001-D1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/4ededfd5-a198-4ae3-aa36-6f250dab21b6_TB-000001-D1WBLL-01_WGS	dg.4DFC/4ededfd5-a198-4ae3-aa36-6f250dab21b6
TB-000001-D1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9de327be-9017-4ba8-8ef5-1f4fdd0e5c64_TB-000001-D1WBLL-01_WES	dg.4DFC/9de327be-9017-4ba8-8ef5-1f4fdd0e5c64
TB-000001-D1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/4680f8e7-dd7c-4e37-a20a-780172530ead_TB-000001-D1WBLL-01_WGS	dg.4DFC/4680f8e7-dd7c-4e37-a20a-780172530ead
TB-000001-D1WBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/2c1ac83b-c56e-441a-bf08-15b9f4e120ed_TB-000001-D1WBLL-01_WES	dg.4DFC/2c1ac83b-c56e-441a-bf08-15b9f4e120ed
TB-000001-D1WBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/a1de676d-8ae8-4605-9a5c-c1034b810ce1_TB-000001-D1WBLL-01_WGS	dg.4DFC/a1de676d-8ae8-4605-9a5c-c1034b810ce1
TB-000001-D1WBLL-01_RNAseq					GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/7ddba2fd-0a90-41f1-8748-0c0aa7bc5ad5_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/7ddba2fd-0a90-41f1-8748-0c0aa7bc5ad5
TB-000001-D1WBLL-01_RNAseq					GRCh37	RNA-Seq of B-lymphoblastic leukemia/lymphoma, NOS Tumor Sample TB-000001-D1WBLL-01	RNA-Seq	Paired-End	Transcriptomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/23818666-57d5-4afb-81f6-ca100cb8b15b_TB-000001-D1WBLL-01_RNAseq	dg.4DFC/23818666-57d5-4afb-81f6-ca100cb8b15b
TB-000001-M1BBLL-01_WES	1021676888	127709611	8.0	0.329383192	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/486e76e1-9e17-4091-8987-a948659dd558_TB-000001-M1BBLL-01_WES	dg.4DFC/486e76e1-9e17-4091-8987-a948659dd558
TB-000001-M1BBLL-01_WES	19284151261	127709611	151.0	6.217107747	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/f6145029-bbd6-4399-a1a2-bb1b16b2f5df_TB-000001-M1BBLL-01_WES	dg.4DFC/f6145029-bbd6-4399-a1a2-bb1b16b2f5df
TB-000001-M1BBLL-01_WES	19284151261	127709611	151.0	6.217107747	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/53ef8991-1d4e-46fc-aac7-516d04ce49ab_TB-000001-M1BBLL-01_WES	dg.4DFC/53ef8991-1d4e-46fc-aac7-516d04ce49ab
TB-000001-M1BBLL-01_WGS	53716288057	355737007	151.0	17.31784542	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/edb61f31-fa25-4d66-a611-c8c0ee18ceda_TB-000001-M1BBLL-01_WGS	dg.4DFC/edb61f31-fa25-4d66-a611-c8c0ee18ceda
TB-000001-M1BBLL-01_WGS	53716288057	355737007	151.0	17.31784542	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/d7210096-787f-43bc-aca3-85632a7ef402_TB-000001-M1BBLL-01_WGS	dg.4DFC/d7210096-787f-43bc-aca3-85632a7ef402
TB-000001-M1BBLL-01_WES	33917433621	253793464	133.641872	10.93480011	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/0800982e-61d6-4221-a147-15b8736b11e6_TB-000001-M1BBLL-01_WES	dg.4DFC/0800982e-61d6-4221-a147-15b8736b11e6
TB-000001-M1BBLL-01_WGS	101000000000	670602352	150.2455917	32.48289105	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/206d90c0-b614-42c4-bf41-58b651c9c0c6_TB-000001-M1BBLL-01_WGS	dg.4DFC/206d90c0-b614-42c4-bf41-58b651c9c0c6
TB-000001-M1BBLL-01_WES	33917433621	253793464	133.641872	10.93480011	GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/56583097-e729-48d6-99d8-1c3d65c51f59_TB-000001-M1BBLL-01_WES	dg.4DFC/56583097-e729-48d6-99d8-1c3d65c51f59
TB-000001-M1BBLL-01_WGS	101000000000	670602352	150.2455917	32.48289105	GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/521c6a54-7bb2-49f0-bc56-666c6ad0f2a6_TB-000001-M1BBLL-01_WGS	dg.4DFC/521c6a54-7bb2-49f0-bc56-666c6ad0f2a6
TB-000001-M1BBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/71dec44b-e8f8-41da-97eb-72257d65fe5b_TB-000001-M1BBLL-01_WES	dg.4DFC/71dec44b-e8f8-41da-97eb-72257d65fe5b
TB-000001-M1BBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/ea7ac6f1-ba8b-4c63-b699-e227604fa1b4_TB-000001-M1BBLL-01_WGS	dg.4DFC/ea7ac6f1-ba8b-4c63-b699-e227604fa1b4
TB-000001-M1BBLL-01_WES					GRCh37	WXS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/9246a71a-8a43-4644-b412-8a0c04fd0a68_TB-000001-M1BBLL-01_WES	dg.4DFC/9246a71a-8a43-4644-b412-8a0c04fd0a68
TB-000001-M1BBLL-01_WGS					GRCh37	WGS of B-lymphoblastic leukemia/lymphoma, NOS Normal Sample TB-000001-M1BBLL-01	WGS	Paired-End	Genomic	Random	Illumina	Illumina NovaSeq	genomic_info	dg.4DFC/32f274cd-52f2-4e55-8d15-fdcd6e366461_TB-000001-M1BBLL-01_WGS	dg.4DFC/32f274cd-52f2-4e55-8d15-fdcd6e366461
