type	pdx_id	model_id	mouse_strain	sample_type_for_implantation	implantation_type	implantation_site	tumor_confirmed_not_to_be_mus_or_ebv_origin	is_tumor_from_untreated_patient	passage_number	passages_tested	validation_technique	id	study.id	sample.id
pdx	ALL-97_pdx	ALL-97_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				0dd6da27-8702-5f82-bb1b-2bab7037de85		bd593e4e-deab-581c-8a73-0052beea528d
pdx	ICB-1744MB_pdx	ICB-1744MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				0e94a258-08b6-537a-9931-61e70ea8ae60		53f76ac6-4c7c-54cd-b0e3-3cee898025c9
pdx	ALL-107_pdx	ALL-107_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				11547068-261a-58ca-b23a-0da14b9abe29		4c6c7a1c-be1d-57b0-91e9-ad6383ff1703
pdx	ICb-10614EPN_pdx	ICb-10614EPN_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				11c24371-b9aa-5e07-845b-f9f55da65178		189a0db1-b944-51f4-9667-f486e44fb3a3
pdx	OS-51-CHLX_pdx	OS-51-CHLX_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				129122bf-1fbd-5c96-8244-93138f5273f8		373d8f2b-6c91-54b0-a65d-e10c2289039f
pdx	ES-6_pdx	ES-6_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				140f798f-8aa1-5884-a809-ed3dc8193bcc		c2bdd9cb-b8ee-5fb5-92fc-eb6de7fe6391
pdx	IBs-W0128DIPG_pdx	IBs-W0128DIPG_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	brain stem		Not Reported				14105ca3-4917-51a7-94fd-e827272628cb		6d9b9ef4-a584-5ca6-935a-f1daee2c53c1
pdx	ALL-16_pdx	ALL-16_pdx	NOD/SCID (initial), NOD/SCID and 3KO and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				148a523c-bdf0-516c-bb6a-75863482a7a6		289ef38b-c26b-5597-9c91-a8d5bd374b8c
pdx	ALL-57_pdx	ALL-57_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				1525efe2-7144-5b40-b67b-7fd76cf0c45d		d535c9a5-774a-5aa4-b48b-8a971b415992
pdx	CHLA-79_pdx	CHLA-79_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				16df0e9f-3fa3-538d-b06a-491e3351c08a		a09b8f22-0fd8-50ba-a3be-722b482d9485
pdx	COG-N-620x_pdx	COG-N-620x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				176c31f6-1d35-57bf-bb12-bb1f81f14610		9a2a1e02-308e-574a-91a0-89d3cf18a1cb
pdx	ALL-11_pdx	ALL-11_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				1998ac9c-8b26-574b-8e0e-680a9a7f0aba		0897356c-dbac-5a4b-806b-8cb6f1e58996
pdx	ICb-3400MB_pdx	ICb-3400MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				1a0ad1b1-d53d-5e90-bcc5-4349fe911346		2577cebb-06c7-5798-b878-0df3b77cfde0
pdx	PAKVKK_pdx	PAKVKK_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				1a8ea736-4312-577b-952a-15b218aa345a		2d3a8417-ccde-5edf-8b68-0ac87b8413e8
pdx	OS-2_pdx	OS-2_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				1e004232-4126-597f-8462-3de3a46bff72		23b4e686-2e93-5d02-acbd-b369e48ee3f7
pdx	NCH-WT-4_pdx	NCH-WT-4_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				1e3e34c4-fffd-5e8e-9fdc-fc754d7fb3e7		44642921-635e-579c-bb7c-0948fd0cf139
pdx	ALL-94_pdx	ALL-94_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				1e67139b-e856-5db8-b521-16ace71ccef6		17a76d95-8610-5587-8e69-c94eb20624b2
pdx	COG-N-471x_pdx	COG-N-471x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				1f0ed319-e55b-5f65-81b8-f5810cdf4330		086b1588-7439-52e5-a5f6-c1fe0794ed83
pdx	MLL-5_pdx	MLL-5_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				1fe515bb-4739-5289-b2de-0cc6c8b06b3d		158ab358-6962-5162-9d7a-01bb7fbd6c88
pdx	OS-25_pdx	OS-25_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				202f6bbc-7359-5879-a2d3-d77beb01b62b		0259ac92-0b0a-5dd2-a342-4b3a4235f204
pdx	OS-42_pdx	OS-42_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				20dc5468-ceb5-55b4-bca7-e35aca86753d		f61896c6-0a3c-57b6-ad14-3b93856a9220
pdx	ALL-25_pdx	ALL-25_pdx	NOD/SCID (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				2200b9f8-94b5-5951-9a1b-10358ead17fa		83f62afa-8227-5e16-8f40-653da1de53c0
pdx	IRS-68_pdx	IRS-68_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				221935d6-b008-5312-941f-8ec295694585		af3bbf53-d304-5b2b-9cc4-0a36ae39b9d5
pdx	OS-49-SJ_pdx	OS-49-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				29366e79-b054-5759-be01-d68d722011fc		db4babc5-3083-5054-ba04-3938aa19f0b7
pdx	IC-3752GBM_pdx	IC-3752GBM_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				2a7b338a-77ad-501e-a24f-ea0829f57aad		14079969-efcb-5ee1-9e57-f0dc66d03452
pdx	OS-36-SJ_pdx	OS-36-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				2b00b821-9dc6-5575-bf1b-961cd22d6667		e780ff30-c5de-592b-a30f-026b0666c986
pdx	IBs-P1215DIPG_pdx	IBs-P1215DIPG_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	brain stem		Not Reported				2b4adcbe-3223-536d-80f7-6b53e007fd5e		2e92be2f-9eaa-5220-84c4-ac605795604d
pdx	ALL-50_pdx	ALL-50_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				2bb6ace9-5295-556e-b079-8c0b06ebefab		5c9366c6-b0de-532f-9697-f5b8047f05b4
pdx	IC-6634GBM_pdx	IC-6634GBM_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				2bbae1d5-d8ab-5c4d-b653-ac77db22ae34		9b72f2ad-0d72-5fd0-a293-f6873dea3819
pdx	KT-5_pdx	KT-5_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				2d0c2995-4cd0-52d1-9cc9-cb69c8e94cbc		dd27ecba-ac7f-50b5-acdb-9defb72c2d14
pdx	OS-54-SJ_pdx	OS-54-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				2d54abf3-7b81-532d-b75e-7883f28d1f16		64545a6a-be71-586b-ac34-05792add64f6
pdx	NB-SD_pdx	NB-SD_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				2f1ddbb8-b849-5227-bad1-00da56f95e34		ba5c556d-3c7a-531d-948b-c1b0c644ce75
pdx	ALL-42_pdx	ALL-42_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				30b6d409-8982-5a77-b019-5e5120bd8c8c		bc185748-897f-5fae-82eb-eea1b8badfa1
pdx	PAKSWW_pdx	PAKSWW_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				30e4efd6-6c2d-58f4-b46f-09b168d97b4f		e9e524d5-d0a2-5497-b104-0d1d75d3c686
pdx	NCH-ERMS-1-NCH-RMS-1_pdx	NCH-ERMS-1-NCH-RMS-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				31fb78c9-3030-56e9-ba15-81afb744c7c8		f5a72caf-024c-5f75-ad38-92593d016c8c
pdx	KT-11_pdx	KT-11_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				349e4d36-b9ef-522d-84d3-648af08d44f8		7bb79b4e-2545-5773-a063-94f26d7c4c08
pdx	OS-43-TPMX_pdx	OS-43-TPMX_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				34e0a2bc-e20d-5265-b30b-7ee184497dbf		d6bb8bda-7dba-52e6-8edd-9d0836b72f45
pdx	IC-2305GBM_pdx	IC-2305GBM_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				357784c2-638c-5201-a56a-fcc02ab67dfd		9c4e9672-4940-5d4e-ac26-a0ec4f99b0ae
pdx	BT-29_pdx	BT-29_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				35c05c01-0187-546c-b2a8-ce3399e02290		790554aa-53dd-5543-9da1-1609f8a510f0
pdx	ALL-53_pdx	ALL-53_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				37973658-e3fa-5a89-a829-5d8a2f725f58		aacf0aa9-ce79-59f1-9ec1-eb788dceebdf
pdx	ALL-87_pdx	ALL-87_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				37f21a01-b3b5-5880-814d-56b25d575769		ed8e801d-6fc8-53a1-a68c-3b32f31df153
pdx	COG-N-453x_pdx	COG-N-453x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				399df9d7-662c-5e7e-b6a4-fb674a6a95a9		22ee45d8-96c8-5b97-bb77-2ffdadf8d776
pdx	COG-N-560x_pdx	COG-N-560x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				3a7474d1-4e80-588a-811e-5b7a36b40492		381147b3-f4a7-5935-addf-96655d804e0a
pdx	COG-N-496x_pdx	COG-N-496x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				3dbfb7e3-f981-5eee-adfc-a3d35d51fa98		40684da7-5409-59eb-992d-14448fc78f6e
pdx	ALL-51_pdx	ALL-51_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				3dc29dff-c0cb-54f4-aa40-ab882120d83a		e37f42ae-c3fd-5548-a62f-5a275375039c
pdx	ICb-984MB_pdx	ICb-984MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				3eeb4407-0517-517a-8bdf-1111a328f45b		0a84eccf-c5c9-520a-9243-5dd222b17c83
pdx	ALL-61_pdx	ALL-61_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				427621e3-bca6-5b7c-bd76-5b12d476f289		97dfedef-1340-5890-b633-841b1398fc30
pdx	OS-47-SJ_pdx	OS-47-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				429f9187-a10a-5a57-b29b-ac89f6fa7433		72514030-da3e-5d3a-bb6a-21033e14c905
pdx	ICb-1197MB_pdx	ICb-1197MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				443f3836-afa8-55e5-91e9-fcdf55bb1947		9bcb9ab9-80f7-5b44-af6b-1ebbef22e0c9
pdx	IBs-2373PNET_pdx	IBs-2373PNET_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	brain stem		Not Reported				455c8d5f-8ba7-5135-a945-72ffd5ed1668		4caab708-40db-5bdc-9d77-62f4b8577835
pdx	OS-36_pdx	OS-36_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				456bf2dc-b165-54d9-a429-a2983779754b		059b4bd1-fadb-5392-8b88-634b825d5d8b
pdx	OS-49-STTX-sc_pdx	OS-49-STTX-sc_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				48a68a01-780f-5fc2-b308-5b029efc39f3		ee4958a8-e3d4-5d51-95d4-47649ba32de1
pdx	COG-N-590x_pdx	COG-N-590x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				4a6a7821-144e-5e92-b1e4-23b5da261ab2		b2809089-7262-5152-b5a0-816fef2ddb6f
pdx	IC-1128GBM_pdx	IC-1128GBM_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				4aaaac73-081e-5600-a44b-2a60291d5852		9b880893-ff54-5f1c-85e0-204396a5cd05
pdx	ALL-33_pdx	ALL-33_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				4c3df240-5965-5bd5-8962-cd440d87a50d		ce2a2ee1-2820-58f8-b03b-a4a1ce7e8555
pdx	KT-6_pdx	KT-6_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				4da39e87-ecad-53f1-a914-52911b0caacb		6f0dddc9-f321-5ea0-a541-1c7ebcc19dc5
pdx	ICb-6753ATRT_pdx	ICb-6753ATRT_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				4e8691b5-613f-5ae4-8a84-f2d590201614		5efe63e2-f7da-5adc-addc-67521630623d
pdx	IC-1621GBM_pdx	IC-1621GBM_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				4fd9072b-c611-575f-bc52-3adc82efcd5d		5301a189-8c67-53a3-8559-4678832b2f13
pdx	PALKTY_pdx	PALKTY_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				500a6a88-590e-5567-ad45-311e0e230ebd		7cde5211-e146-503c-8363-6799190e40b4
pdx	NB-Fly-623m_pdx	NB-Fly-623m_pdx	CB17-SCID (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				50205fb1-266b-5cb1-a3a2-5a9844365962		6d000348-8dc1-5926-a8a9-3a5f5a6f6f13
pdx	NCH-WT-6-S13-1506_pdx	NCH-WT-6-S13-1506_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				5074cad2-6913-5b36-9a8c-a73a09e524f0		402f3c8c-9276-55f7-a722-3199383678dd
pdx	ICb-10593ATRT_pdx	ICb-10593ATRT_pdx	RAG1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				5109ea1e-c190-5db5-94ae-3d01abede752		d85d80cc-05b9-506f-b4ee-92873cdb9098
pdx	ALL-117_pdx	ALL-117_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				5156c106-1b09-57d4-b4e6-e8fb4b246a58		a31c0de0-722e-5d53-8780-8b4e573ef318
pdx	ALL-105_pdx	ALL-105_pdx	NSG (ABR) (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				5160cdb1-b44c-515d-9cfe-a426004131f1		2415d17d-361c-5a6e-b494-e85c763f5d02
pdx	MLL-8_pdx	MLL-8_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				52693074-92ab-5041-8ebc-f372dfef5fb1		feae9e26-c049-5f49-8909-5493d7efe00d
pdx	PAKHZT_pdx	PAKHZT_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				533eb1fc-b9e8-5bed-909a-18919fb14a3d		edd0f0e9-8dd7-5014-b13c-6d8a41d8bf87
pdx	OS-29_pdx	OS-29_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				5390341a-b543-5634-b4f1-67ed544d1c3d		5e08fdfc-3c90-5ce2-a073-6d3aa51a3170
pdx	NCH-NB-1_pdx	NCH-NB-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				54807d77-0672-5167-8f59-d7e96f3eae65		2482c1d2-f8ed-5c9c-99f5-6ba3b3e299f3
pdx	OS-50-SJ_pdx	OS-50-SJ_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				5681c483-ee51-536c-a266-edd4ed70d717		2401d96b-e315-50c3-a3eb-0ac9d1d6ae3b
pdx	ICb-1494MB_pdx	ICb-1494MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				56ba0b2b-257f-5d5a-b527-b4b4e23f4f15		82a3c0cf-bb98-5c04-bb9b-97702f99ba26
pdx	ICb-2002EPN_pdx	ICb-2002EPN_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				5768e992-c826-52a1-acee-1496268eb6e1		017a2f8f-dc5d-5142-8bfb-690d8cece24e
pdx	NB-1691_pdx	NB-1691_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				57f20fd9-f941-5b85-bacf-f4bcee2d7eb9		7aacf152-65d7-5330-9e4a-488f68edbaca
pdx	SK-NEP-1_pdx	SK-NEP-1_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				58f471f7-6868-557d-8353-22176bad6943		94cbfc10-3aa8-545b-abb6-33215692d2a1
pdx	ICb-1078MB_pdx	ICb-1078MB_pdx	NOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				597b1625-e357-5c9b-ab8f-2cd3693900f4		fd9172ea-d21a-5028-aced-b5c05f0988a0
pdx	ALL-58_pdx	ALL-58_pdx	NOD/SCID and NSG (ABR) (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				5e16af04-a369-5c23-af30-ff82d6d718ec		dc84994e-dbee-5447-b53f-494caf0f5a1e
pdx	ICb-1140MB_pdx	ICb-1140MB_pdx	nOD.129S7(B6)-Rag1tm1Mom/J (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				5e399442-184a-5b2b-8cbd-0b715c4c34bd		f48e51b2-1cf4-5c5a-9283-6cddf23ff915
pdx	ALL-17_pdx	ALL-17_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				5e45cf63-81c6-5d16-995d-3d314e449e8a		e2655116-23c2-546c-bd66-ef15e4f66cbd
pdx	COG-N-452x_pdx	COG-N-452x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				5eef6819-3790-5069-b54b-2aea2e2dd955		7713b1f2-6213-572c-9c18-35b606bd4ec7
pdx	COG-N-623x_pdx	COG-N-623x_pdx	NSG (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				61218c3f-22d3-5eb1-9bd3-2deb3f99a165		6e5f77b3-d086-54a2-926f-c6605fb98bc8
pdx	PAKYEP_pdx	PAKYEP_pdx	NSG (initial), NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				6195c7cf-27d9-591e-aa7e-59bb286230f7		c7d19364-829e-5928-8f49-eecb38fe4d3c
pdx	ALL-39_pdx	ALL-39_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				6294d426-fe22-5b9e-94e3-573dfa1fe7a8		43ea9000-7cae-5158-b888-59fea75764f0
pdx	ALL-43_pdx	ALL-43_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				62ba6b7b-ba4b-54d4-b850-80725193a918		6ed88b96-b946-5456-bc59-8abb58c5c000
pdx	TC-71_pdx	TC-71_pdx	C.B-Igh-1b/IcrTac-Prkdcscid Taconic (initial), C.B-Igh-1b/IcrTac-Prkdcscid Taconic (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				63c08a73-f73f-59d7-8db3-de3d033dfab1		588fa157-e3a2-5f08-aabd-ef48146a1d17
pdx	OS-32_pdx	OS-32_pdx	CB17-SCID (initial), CB17-SCID (banking, passages)	Not Reported	trocar	subcutaneous		Not Reported				64290273-e775-5ed3-aec9-ada5450a01f9		fabd1e55-1133-5ed1-af0c-96d1c97d4067
pdx	ALL-56_pdx	ALL-56_pdx	NOD/SCID (initial), NOD/SCID and NSG (banking, passages)	Not Reported	injection	tail vein		Not Reported				6678a78c-7e14-5b8a-a313-6e31dda856dc		3e4662ac-7f8d-5aee-be4f-e15a8eea449c
pdx	ICb-2123MB_pdx	ICb-2123MB_pdx	RAG2 (initial), 0 (banking, passages)	Not Reported	orthotopic	right cerebrum		Not Reported				67efbff5-cc1e-5f33-81c3-d30e48f192b2		f65046ab-6d07-53b9-9fe1-7c5959c73298
