library_id	bases	number_of_reads	avg_read_length	design_description	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id	reference_genome_assembly
S040D.1.7	4749258400	47492584	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/fa559c82-cdf3-4dbe-9789-a2f2c7262230_S040D.1.7	dg.4DFC/fa559c82-cdf3-4dbe-9789-a2f2c7262230	Not specified in data
S040D.1.6	4731566200	47315662	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/78e05bc4-48d9-4108-bfe2-b98da4ebdbe7_S040D.1.6	dg.4DFC/78e05bc4-48d9-4108-bfe2-b98da4ebdbe7	Not specified in data
S040D.1.6	4731566200	47315662	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/32464ba1-c4c9-43fc-9e7d-1938d6bc03c0_S040D.1.6	dg.4DFC/32464ba1-c4c9-43fc-9e7d-1938d6bc03c0	Not specified in data
S040D.1.8	4756617600	47566176	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/78d6cde2-32a0-4465-b5e1-cbced1228a2c_S040D.1.8	dg.4DFC/78d6cde2-32a0-4465-b5e1-cbced1228a2c	Not specified in data
S040D.1.8	4756617600	47566176	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/65fc893e-7d3d-4aa0-a9c0-dbe6966ba029_S040D.1.8	dg.4DFC/65fc893e-7d3d-4aa0-a9c0-dbe6966ba029	Not specified in data
S013D.4.7	6556752643	64918343	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/5097de6a-4abc-4719-94cc-3c357b538603_S013D.4.7	dg.4DFC/5097de6a-4abc-4719-94cc-3c357b538603	Not specified in data
S017D.1.8	4023333788	39834988	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/9e5884aa-3ee3-4c07-aad0-e24e15888b74_S017D.1.8	dg.4DFC/9e5884aa-3ee3-4c07-aad0-e24e15888b74	Not specified in data
S072D.2.8	1621957384	16058984	101	Genomic DNA capture was performed with a library of custom capture probes from Roche/Nimblegen, as described in Maxson et al, NEJM, 2013 (PMID 23656643). Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	Targeted-Capture	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/529b680f-8cc5-4453-b907-c03481ae4026_S072D.2.8	dg.4DFC/529b680f-8cc5-4453-b907-c03481ae4026	Not specified in data
S102D.1.2	5075827114	50255714	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/4fd28cef-517d-437d-91d3-6cd618cabd30_S102D.1.2	dg.4DFC/4fd28cef-517d-437d-91d3-6cd618cabd30	Not specified in data
S092D.3.5	2148892160	21276160	101	Genomic DNA capture was performed with a library of custom capture probes from Roche/Nimblegen, as described in Maxson et al, NEJM, 2013 (PMID 23656643). Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	Targeted-Capture	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/eb6a2bf5-3976-44d5-88d0-5d1bfe75e815_S092D.3.5	dg.4DFC/eb6a2bf5-3976-44d5-88d0-5d1bfe75e815	Not specified in data
S028D.2.5	3311046800	33110468	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/94443471-f0bb-4bfa-a717-225792badefb_S028D.2.5	dg.4DFC/94443471-f0bb-4bfa-a717-225792badefb	Not specified in data
S028D.2.5	3311046800	33110468	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/349794c9-dd19-4b3c-bd89-b20818709670_S028D.2.5	dg.4DFC/349794c9-dd19-4b3c-bd89-b20818709670	Not specified in data
S028D.2.4	3302710000	33027100	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/392a8050-f0ac-44f6-a008-d86f04fb82d2_S028D.2.4	dg.4DFC/392a8050-f0ac-44f6-a008-d86f04fb82d2	Not specified in data
S028D.2.4	3302710000	33027100	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/851d12b7-5eb6-44f0-8ecd-3c29338ceb24_S028D.2.4	dg.4DFC/851d12b7-5eb6-44f0-8ecd-3c29338ceb24	Not specified in data
S028D.2.3	3292735600	32927356	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/b23f44f3-69f3-4644-9c82-18b71fa66caf_S028D.2.3	dg.4DFC/b23f44f3-69f3-4644-9c82-18b71fa66caf	Not specified in data
S028D.2.3	3292735600	32927356	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/25e08b49-dadd-4f31-aeac-cd35428a26c2_S028D.2.3	dg.4DFC/25e08b49-dadd-4f31-aeac-cd35428a26c2	Not specified in data
S028R.1.8	10788580800	107885808	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/00df8323-adc1-43a7-a982-b249681361c3_S028R.1.8	dg.4DFC/00df8323-adc1-43a7-a982-b249681361c3	Not specified in data
S028R.1.8	10788580800	107885808	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/bef395c2-ffd5-4a96-99b6-42ed4f71d8f9_S028R.1.8	dg.4DFC/bef395c2-ffd5-4a96-99b6-42ed4f71d8f9	Not specified in data
S024D.2.5	3982508800	39825088	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/0cd7d008-449d-46d0-9ca4-33e7ff7c2cbe_S024D.2.5	dg.4DFC/0cd7d008-449d-46d0-9ca4-33e7ff7c2cbe	Not specified in data
S024D.2.5	3982508800	39825088	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/c53d2d6d-cc8b-40a6-bbaa-ff0fa70fce0a_S024D.2.5	dg.4DFC/c53d2d6d-cc8b-40a6-bbaa-ff0fa70fce0a	Not specified in data
S024D.2.3	3955328800	39553288	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/ee689802-c1cb-48b4-8c9d-533a4c85ceba_S024D.2.3	dg.4DFC/ee689802-c1cb-48b4-8c9d-533a4c85ceba	Not specified in data
S024D.2.3	3955328800	39553288	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/b2a23014-6b06-49d9-89dc-ba78505d6b7b_S024D.2.3	dg.4DFC/b2a23014-6b06-49d9-89dc-ba78505d6b7b	Not specified in data
S024D.2.4	3972064600	39720646	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/aee66e8a-87cf-4959-bc9f-0b60a80c585a_S024D.2.4	dg.4DFC/aee66e8a-87cf-4959-bc9f-0b60a80c585a	Not specified in data
S024D.2.4	3972064600	39720646	100	Genomic DNA capture was performed with Nextera Rapid Capture Exome probes, version 1.2. Sequencing was performed on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Paired-End	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/a63795d1-e583-46bc-bc10-b79875a5950a_S024D.2.4	dg.4DFC/a63795d1-e583-46bc-bc10-b79875a5950a	Not specified in data
S024R.1.3	12840880600	128408806	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/15aeeb3b-bf2c-44da-839d-b149c0e183dc_S024R.1.3	dg.4DFC/15aeeb3b-bf2c-44da-839d-b149c0e183dc	Not specified in data
S024R.1.3	12840880600	128408806	100	RNA sequencing libraries were prepared using Agilent SureSelect Stranded RNA with standard protocols. Libraries were sequenced on an Illumina HiSeq 2500 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2500	genomic_info	dg.4DFC/e57dcc3c-1771-4ee4-8a5c-59d2d508d3c7_S024R.1.3	dg.4DFC/e57dcc3c-1771-4ee4-8a5c-59d2d508d3c7	Not specified in data
S099D.1.2	5184581389	51332489	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/d0badb27-f0c6-4391-9105-8e5fae04698b_S099D.1.2	dg.4DFC/d0badb27-f0c6-4391-9105-8e5fae04698b	Not specified in data
S021D.5.2	4098284777	40577077	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/c664fe92-2011-4df6-bbf6-d5f38bc1e727_S021D.5.2	dg.4DFC/c664fe92-2011-4df6-bbf6-d5f38bc1e727	Not specified in data
S021R.3.6	7833467484	77559084	101	RNA sequencing libraries were prepared using Illumina Truseq with standard protocols. Libraries were sequenced on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/7d852b89-8c5f-4d1f-b5e9-cd3466cf729c_S021R.3.6	dg.4DFC/7d852b89-8c5f-4d1f-b5e9-cd3466cf729c	Not specified in data
S021R.3.6	7833467484	77559084	101	RNA sequencing libraries were prepared using Illumina Truseq with standard protocols. Libraries were sequenced on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/db967536-1e0f-461d-8682-ac1ba781a367_S021R.3.6	dg.4DFC/db967536-1e0f-461d-8682-ac1ba781a367	Not specified in data
S014D.2.2	2128341690	21072690	101	Genomic DNA capture was performed with a library of custom capture probes from Roche/Nimblegen, as described in Maxson et al, NEJM, 2013 (PMID 23656643). Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	Targeted-Capture	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/e837ebe7-bdc1-4444-bd9f-2e2638b0f76e_S014D.2.2	dg.4DFC/e837ebe7-bdc1-4444-bd9f-2e2638b0f76e	Not specified in data
S081D.2.1	1690786056	16740456	101	Genomic DNA capture was performed with a library of custom capture probes from Roche/Nimblegen, as described in Maxson et al, NEJM, 2013 (PMID 23656643). Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	Targeted-Capture	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/11e0f23e-dba3-480f-a200-b89f60dcfead_S081D.2.1	dg.4DFC/11e0f23e-dba3-480f-a200-b89f60dcfead	Not specified in data
S039D.2.1	7188280696	71171096	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/076f22fc-9a1f-49ca-b374-745082af6843_S039D.2.1	dg.4DFC/076f22fc-9a1f-49ca-b374-745082af6843	Not specified in data
S039R.4.5	8480704976	83967376	101	RNA sequencing libraries were prepared using Illumina Truseq with standard protocols. Libraries were sequenced on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/b408b45d-49e4-4fd3-94c5-7f804662038a_S039R.4.5	dg.4DFC/b408b45d-49e4-4fd3-94c5-7f804662038a	Not specified in data
S039R.4.5	8480704976	83967376	101	RNA sequencing libraries were prepared using Illumina Truseq with standard protocols. Libraries were sequenced on an Illumina HiSeq 2000 at the Oregon Health & Science University Massively Parallel Sequencing Shared Resource	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq 2000	genomic_info	dg.4DFC/16ea4f86-9518-4c69-b4a3-bc524cc0c7ca_S039R.4.5	dg.4DFC/16ea4f86-9518-4c69-b4a3-bc524cc0c7ca	Not specified in data
S104D.2.5	10932167078	108239278	101	Genomic DNA capture was performed with NimbleGen SeqCap EZ Exome probes, version 3.0. Sequencing was performed on an Illumina HiSeq 3000 at the Oregon State University Sequencing Core Facility	WXS	Single-indexed	Genomic	Hybrid Selection	Illumina	Illumina HiSeq 3000	genomic_info	dg.4DFC/a931f96f-904e-4daa-bb9a-7a1cbc2ba350_S104D.2.5	dg.4DFC/a931f96f-904e-4daa-bb9a-7a1cbc2ba350	Not specified in data
S104R.1.3	7937194000	63497552	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/877923ef-eb0d-470d-a922-e200b6cd8ab3_S104R.1.3	dg.4DFC/877923ef-eb0d-470d-a922-e200b6cd8ab3	Not specified in data
S104R.1.3	7937194000	63497552	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/509632a0-d6bb-449a-8796-ee6233167e09_S104R.1.3	dg.4DFC/509632a0-d6bb-449a-8796-ee6233167e09	Not specified in data
S104R.1.4	7956935500	63655484	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/80a344d8-dc87-4ffb-a616-3d49b9c47b45_S104R.1.4	dg.4DFC/80a344d8-dc87-4ffb-a616-3d49b9c47b45	Not specified in data
S104R.1.4	7956935500	63655484	125	RNA sequencing libraries were prepared using Roche KAPA Total RNASeq with standard protocols. Libraries were sequenced on an Illumina HiSeq X at the New York Genome Center	RNA-Seq	Paired-End	Transcriptomic	Poly-A Enriched Genomic Library	Illumina	Illumina HiSeq X Ten	genomic_info	dg.4DFC/a0e909ba-8ce5-410d-8de8-04dc8e397658_S104R.1.4	dg.4DFC/a0e909ba-8ce5-410d-8de8-04dc8e397658	Not specified in data
