type	file_id	crdc_id	experimental_strategy_and_data_subtypes	experimental_strategy_and_data_subtypes_concept_code	file_description	file_mapping_level	file_mapping_level_concept_code	file_name	file_size	file_type	file_type_concept_code	file_url_in_cds	is_supplementary_file	md5sum	release_datetime	sample.sample_id	study.phs_accession	submission_version
file	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b	dg.4DFC/00b5ce11-94e7-4196-a314-9f2ba1e4164b	DNA-Seq	C153598	"MultiQC image file aggregating FastQC statistics, used in MultiQC plotting"	Sample	C70699	mqc_fastqc_sequence_length_distribution_plot_1.txt	8199	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/multiqc/multiqc_data/mqc_fastqc_sequence_length_distribution_plot_1.txt		6119d441a848faaff46394e01e06f6f3	2025-10-03T12:02:01Z	6949-JMM-0057.pdx.samp | 6949-JMM-0051.pdx.samp | 6949-JMM-0056.pdx.samp | 6949-JMM-0060.pdx.samp | 6949-JMM-0062.pdx.samp | 6949-JMM-0042.pdx.samp | 6949-JMM-0059.pdx.samp | 6949-JMM-0039.pdx.samp | 6949-JMM-0050.pdx.samp | 6949-JMM-0066.pdx.samp | 6949-JMM-0072.pdx.samp | 6949-JMM-0037.pdx.samp | 6949-JMM-0044.pdx.samp | 6949-JMM-0067.pdx.samp | 6949-JMM-0064.pdx.samp | 6949-JMM-0043.pdx.samp | 6949-JMM-0052.pdx.samp | 6949-JMM-0058.pdx.samp | 6949-JMM-0045.pdx.samp | 6949-JMM-0061.pdx.samp | 6949-JMM-0038.pdx.samp | 6949-JMM-0071.pdx.samp | 6949-JMM-0063.pdx.samp | 6949-JMM-0046.pdx.samp | 6949-JMM-0068.pdx.samp | 6949-JMM-0070.pdx.samp | 6949-JMM-0054.pdx.samp | 6949-JMM-0069.pdx.samp | 6949-JMM-0041.pdx.samp | 6949-JMM-0049.pdx.samp | 6949-JMM-0065.pdx.samp | 6949-JMM-0047.pdx.samp | 6949-JMM-0055.pdx.samp | 6949-JMM-0040.pdx.samp | 6949-JMM-0053.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00e0340d-f8fe-47e9-b290-82a0e1311c15	dg.4DFC/00e0340d-f8fe-47e9-b290-82a0e1311c15	DNA-Seq	C153598	"SNP variants called on target. Target SNPs are those in the IDT xGen Sample ID amplicon panel. Raw reads trimmed with CutAdapt, mapped with BWA to GRCh38, and primer sequence was removed with primerclip. GATK was used for base quality score recalibration calculation and application. Variants were then called with GATK Haplotypecaller."	Sample	C70699	6949-JMM-0041_FP_fingerprint.on_target_SNPs.tsv	5762	TSV	C164049	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0041_FP/6949-JMM-0041_FP_fingerprint.on_target_SNPs.tsv		fd4b9c62704471ae1c8bbddf6b8040e5	2025-10-03T12:02:01Z	6949-JMM-0041_FP.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00e23595-eeec-4f43-afd5-c9a5db2711ca	dg.4DFC/00e23595-eeec-4f43-afd5-c9a5db2711ca	DNA-Seq	C153598	ASCAT CNV segments files containing the copy number segments of each sample without any rounding applied	Sample	C70699	6949-JMM-0068.segments_raw.txt	3148	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0068.segments_raw.txt		958e9b1649689808aa01e274d2e81042	2025-10-03T12:02:01Z	6949-JMM-0068.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/00fd54ed-5839-4223-a1f8-cf9de4a90cd7	dg.4DFC/00fd54ed-5839-4223-a1f8-cf9de4a90cd7	DNA-Seq	C153598	GATK Mutect2 FilterMutectCalls metrics	Sample	C70699	6949-JMM-0055_mutect2_somatic.filtered.vcf.gz.filteringStats.tsv	1809	TSV	C164049	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0055/stats/6949-JMM-0055_mutect2_somatic.filtered.vcf.gz.filteringStats.tsv		4ce10a55ade872f9d76084b6931f047f	2025-10-03T12:02:01Z	6949-JMM-0055.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0147ac89-773e-42fe-89b3-8108d8d38851	dg.4DFC/0147ac89-773e-42fe-89b3-8108d8d38851	DNA-Seq	C153598	ASCAT CNV segments file containing the copy number segments of each sample (not including failed arrays)	Sample	C70699	6949-JMM-0066.segments.txt	1374	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0066.segments.txt		e27ea9936badf4f82c9787ae455a5783	2025-10-03T12:02:01Z	6949-JMM-0066.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/015b8715-23a3-4b77-9704-b3a2d2655d88	dg.4DFC/015b8715-23a3-4b77-9704-b3a2d2655d88	DNA-Seq	C153598	FASTQC HTML report for read 2. FASTQ was run post raw read trimmer with CutAdapt	Sample	C70699	6949-JMM-0057_FP_R2_paired_trimmed_fastqc.html	651810	HTML	C142380	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0057_FP/stats/6949-JMM-0057_FP_R2_paired_trimmed_fastqc.html		96360b5841a245e01a4fe384cf0699f3	2025-10-03T12:02:01Z	6949-JMM-0057_FP.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/01708d43-8ccc-4910-b693-c21d454a8717	dg.4DFC/01708d43-8ccc-4910-b693-c21d454a8717	RNA-Seq	C124261	"Human isoform expression quantification from RSEM. Raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and human reads were mapped with STAR to GRCh38 with gencode v39 annotations. Mapped reads were quantified with RSEM"	Sample	C70699	6949-JMM-0076_human.isoforms.results	21802065	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0076_human/6949-JMM-0076_human.isoforms.results		fd75d75d8c27c24583b158aae0620a73	2025-10-03T12:02:01Z	6949-JMM-0076.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0173728a-f813-4341-803c-e73e4d09b937	dg.4DFC/0173728a-f813-4341-803c-e73e4d09b937	DNA-Seq	C153598	ASCAT inferred sample aberrant cell fraction	Sample	C70699	6949-JMM-0049.aberrantcellfraction.txt	5	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0049.aberrantcellfraction.txt		aa92c621319ee521700478e09a777179	2025-10-03T12:02:01Z	6949-JMM-0049.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/01939e58-a432-439c-9a83-8077eaae5209	dg.4DFC/01939e58-a432-439c-9a83-8077eaae5209	DNA-Seq	C153598	Ensembl v102 genes annotated with ASCAT CNV segments	Sample	C70699	6949-JMM-0044.segments_raw.extend.ensgene_cnvbreak.txt	18549253	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0044.segments_raw.extend.ensgene_cnvbreak.txt		bdba2abac9dbebcf4c3b6417e7492466	2025-10-03T12:02:01Z	6949-JMM-0044.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/01d103ec-69df-4413-a84d-215aa66fd854	dg.4DFC/01d103ec-69df-4413-a84d-215aa66fd854	RNA-Seq	C124261	"Mouse isoform expression quantification from RSEM. Raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and mouse reads were mapped with STAR to GRCm38 with ensembl v102annotations. Mapped reads were quantified with RSEM"	Sample	C70699	6949-JMM-0077_mouse.isoforms.results	12616677	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0077_mouse/6949-JMM-0077_mouse.isoforms.results		b15a23654a4b5b17198dd3a4363a5db8	2025-10-03T12:02:01Z	6949-JMM-0077.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/01d843b7-3eaf-42c7-9b75-b97960b4df01	dg.4DFC/01d843b7-3eaf-42c7-9b75-b97960b4df01	DNA-Seq	C153598	ASCAT CNV segments file containing the copy number segments of each sample (not including failed arrays)	Sample	C70699	6949-JMM-0067.segments.txt	2721	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0067.segments.txt		6786a29ccddd2f5acc63dea26a78a26e	2025-10-03T12:02:01Z	6949-JMM-0067.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/020a8965-3f01-48e8-8ac5-e10408cf1450	dg.4DFC/020a8965-3f01-48e8-8ac5-e10408cf1450	DNA-Seq	C153598	Plot showing tumor separated BAF	Sample	C70699	tumorSep6949-JMM-0050.png	439932	PNG	C85437	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/tumorSep6949-JMM-0050.png		9402c2d5d2854ae7e2ff0077eefdc27e	2025-10-03T12:02:01Z	6949-JMM-0050.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/022791c5-43f9-48f6-985e-b3a37eaaa09d	dg.4DFC/022791c5-43f9-48f6-985e-b3a37eaaa09d	RNA-Seq	C124261	Human sample read group used in mapping	Sample	C70699	6949-JMM-0098_human_read_group.txt	132	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0098_human/stats/6949-JMM-0098_human_read_group.txt		fbe928ec324b57aa408dbd042ca7083d	2025-10-03T12:02:01Z	6949-JMM-0098.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/022baf45-0c86-4c7f-9380-a86d349ad41b	dg.4DFC/022baf45-0c86-4c7f-9380-a86d349ad41b	RNA-Seq	C124261	"Mouse BAM alignment file relative to the transcriptome. BAM derived from raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and mouse reads were mapped with STAR to GRCm38 with ensembl v102 annotations"	Sample	C70699	6949-JMM-0085_mouse.transcript.sorted.bam	315776306	BAM	C153249	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0085_mouse/bam/6949-JMM-0085_mouse.transcript.sorted.bam		cf5a1d8b0028fb45fd1d2cd0244a15a2	2025-10-03T12:02:01Z	6949-JMM-0085.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0232048a-4005-4097-b2de-63ab7c3f309a	dg.4DFC/0232048a-4005-4097-b2de-63ab7c3f309a	DNA-Seq	C153598	FASTQC collected summarized results for read 1. FASTQ was run post raw read trimmer with CutAdapt	Sample	C70699	6949-JMM-0071_FP_R1_paired_trimmed_fastqc.zip	608726	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0071_FP/stats/6949-JMM-0071_FP_R1_paired_trimmed_fastqc.zip		ff51e46f151167f7a2b107d68230f0d3	2025-10-03T12:02:01Z	6949-JMM-0071_FP.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0240522a-3193-4188-9d25-6a4a4b317461	dg.4DFC/0240522a-3193-4188-9d25-6a4a4b317461	DNA-Seq	C153598	Allele-Specific Piecewise Constant Fitting (ASPCF) corrected LogR ratio	Sample	C70699	6949-JMM-0044.LogR.PCFed.txt	9151632	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0044.LogR.PCFed.txt		0e853b0466dea6e608ea733b768575f9	2025-10-03T12:02:01Z	6949-JMM-0044.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/02615a39-4122-462a-83e8-3291d9015d0a	dg.4DFC/02615a39-4122-462a-83e8-3291d9015d0a	DNA-Seq	C153598	FastQC report files for read 2. FastQC run on quality trimmed reads	Sample	C70699	6949-JMM-0050_R2.fastq.gz_filtered_trimmed_fastqc.zip	962413	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0050/stats/6949-JMM-0050_R2.fastq.gz_filtered_trimmed_fastqc.zip		7c254a6829ec49499437349788ffd3ac	2025-10-03T12:02:01Z	6949-JMM-0050.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0264c202-8c27-4769-bab3-c415ccc15016	dg.4DFC/0264c202-8c27-4769-bab3-c415ccc15016	DNA-Seq	C153598	"VCF with filtered insertion and deletion calls with dbSNP IDs. Raw reads were first trimmed for quality using a custom python script. Human / mouse disambiguation of quality filtered reads was done with Xenome. Human specifc reads were mapped with BWA to GRCh38. Duplicate reads were marked with Picard MarkDuplicates. Base recalibration was then done and applied with GATK. Variants were called with GATK Mutect2 in tumor only mode, reads were called against a panel of normal samples from the 1000 genome project and germline reference from the GnomAD project both references provided by GATK. Variants were soft filtered with FilterMutectCalls, and depth and quality filters. Variant were annotated with dbsnpID"	Sample	C70699	6949-JMM-0066_INDEL_filtered_dbsnpID.vcf	1832117	VCF	C172216	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0066/6949-JMM-0066_INDEL_filtered_dbsnpID.vcf		6763c62d3b7ae9d94171e9d7c94bb6e2	2025-10-03T12:02:01Z	6949-JMM-0066.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0269ccaf-429a-46f1-8b46-31267406991c	dg.4DFC/0269ccaf-429a-46f1-8b46-31267406991c	DNA-Seq	C153598	MultiQC report file aggregating GATK/Picard CovergeMetrics statistics	Sample	C70699	picard_histogram_2.txt	7	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/multiqc/multiqc_data/picard_histogram_2.txt		c9aa8a5ac6841ffb3a6cc2de45b44797	2025-10-03T12:02:01Z	6949-JMM-0059.pdx.samp | 6949-JMM-0044.pdx.samp | 6949-JMM-0039.pdx.samp | 6949-JMM-0037.pdx.samp | 6949-JMM-0061.pdx.samp | 6949-JMM-0055.pdx.samp | 6949-JMM-0058.pdx.samp | 6949-JMM-0062.pdx.samp | 6949-JMM-0041.pdx.samp | 6949-JMM-0070.pdx.samp | 6949-JMM-0064.pdx.samp | 6949-JMM-0066.pdx.samp | 6949-JMM-0054.pdx.samp | 6949-JMM-0052.pdx.samp | 6949-JMM-0042.pdx.samp | 6949-JMM-0071.pdx.samp | 6949-JMM-0043.pdx.samp | 6949-JMM-0050.pdx.samp | 6949-JMM-0072.pdx.samp | 6949-JMM-0069.pdx.samp | 6949-JMM-0040.pdx.samp | 6949-JMM-0051.pdx.samp | 6949-JMM-0045.pdx.samp | 6949-JMM-0060.pdx.samp | 6949-JMM-0067.pdx.samp | 6949-JMM-0057.pdx.samp | 6949-JMM-0046.pdx.samp | 6949-JMM-0053.pdx.samp | 6949-JMM-0049.pdx.samp | 6949-JMM-0068.pdx.samp | 6949-JMM-0047.pdx.samp | 6949-JMM-0038.pdx.samp | 6949-JMM-0056.pdx.samp | 6949-JMM-0065.pdx.samp | 6949-JMM-0063.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0291adab-c634-4715-a133-59e2b0498785	dg.4DFC/0291adab-c634-4715-a133-59e2b0498785	DNA-Seq	C153598	"Full unannotated SNP and InDEL variants called. Raw reads trimmed with CutAdapt, mapped with BWA to GRCh38, and primer sequence was removed with primerclip. GATK was used for base quality score recalibration calculation and application. Variants were then called with GATK Haplotypecaller."	Sample	C70699	6949-JMM-0042_FP_variants_raw.vcf	196302	VCF	C172216	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0042_FP/6949-JMM-0042_FP_variants_raw.vcf		caa0b7e2bc412ac5b5828d4c1ae8742e	2025-10-03T12:02:01Z	6949-JMM-0042_FP.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/0295cf93-a290-4ada-847d-a0f5e2fb1158	dg.4DFC/0295cf93-a290-4ada-847d-a0f5e2fb1158	RNA-Seq	C124261	Human Picard CollectRNAseqMetrics QC metrics	Sample	C70699	6949-JMM-0095_human_picard_aln_metrics.txt	3117	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0095_human/stats/6949-JMM-0095_human_picard_aln_metrics.txt		ae8b8923f6d42ed50df595681767250b	2025-10-03T12:02:01Z	6949-JMM-0095.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/02a85bdb-c8d8-4ddc-9e6c-3e32a3b2974c	dg.4DFC/02a85bdb-c8d8-4ddc-9e6c-3e32a3b2974c	RNA-Seq	C124261	"Mouse BAM alignment file relative to the genome. BAM derived from raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and mouse reads were mapped with STAR to GRCm38 with ensembl v102 annotations"	Sample	C70699	6949-JMM-0101_mouse.STAR.genome.sorted.bam	591074886	BAM	C153249	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0101_mouse/bam/6949-JMM-0101_mouse.STAR.genome.sorted.bam		c194f52606fdd0b7237297687ba9b155	2025-10-03T12:02:01Z	6949-JMM-0101.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/02cd8599-b0c5-40b0-85e2-c772222d77cb	dg.4DFC/02cd8599-b0c5-40b0-85e2-c772222d77cb	DNA-Seq	C153598	FastQC html report for read 2. FastQC run on quality trimmed reads	Sample	C70699	6949-JMM-0061_R2.fastq.gz_filtered_trimmed_fastqc.html	616314	HTML	C142380	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/wes/6949-JMM-0061/stats/6949-JMM-0061_R2.fastq.gz_filtered_trimmed_fastqc.html		816a599cf7868b519a6d57ba17864cd6	2025-10-03T12:02:01Z	6949-JMM-0061.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/02ef1b00-8d03-40ef-a6ea-38e778c09cf0	dg.4DFC/02ef1b00-8d03-40ef-a6ea-38e778c09cf0	RNA-Seq	C124261	"Mouse BAM index file relative to the transcriptome. BAM derived from raw reads were quality and adapter with FastP, mouse and human reads were deconvolved with Xenome, and mouse reads were mapped with STAR to GRCm38 with ensembl v102 annotations"	Sample	C70699	6949-JMM-0107_mouse.transcript.sorted.bam.bai	6525328	BAI	C190163	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0107_mouse/bam/6949-JMM-0107_mouse.transcript.sorted.bam.bai		a515e78793d6f4b1eef1dca8c6561972	2025-10-03T12:02:01Z	6949-JMM-0107.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/03141caf-d484-4c1f-abe1-82858bed47d1	dg.4DFC/03141caf-d484-4c1f-abe1-82858bed47d1	DNA-Seq	C153598	ASCAT inferred sample aberrant cell fraction	Sample	C70699	6949-JMM-0042.aberrantcellfraction.txt	5	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0042.aberrantcellfraction.txt		4ec49bc4747b4649b09a065fa88ff3af	2025-10-03T12:02:01Z	6949-JMM-0042.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/03305d18-d5b0-4ff0-b2e9-81c7a0eb18a1	dg.4DFC/03305d18-d5b0-4ff0-b2e9-81c7a0eb18a1	DNA-Seq	C153598	Log file from primer trimming by PrimerClip	Sample	C70699	6949-JMM-0058_FP_primerclip_runstats.log	264	TXT	C85873	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/amplicon/6949-JMM-0058_FP/stats/6949-JMM-0058_FP_primerclip_runstats.log		827d3929f694345430220fa5438b0862	2025-10-03T12:02:01Z	6949-JMM-0058_FP.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/033beaac-de0f-461e-bff2-6c9ce79b0828	dg.4DFC/033beaac-de0f-461e-bff2-6c9ce79b0828	DNA-Seq	C153598	Plot showing raw ASCAT CNV profile	Sample	C70699	6949-JMM-0039.rawprofile.png	62920	PNG	C85437	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/cnvarray/6949-JMM-0039.rawprofile.png		2ec8ded8a7be73dd6e7d74f2cc545c0a	2025-10-03T12:02:01Z	6949-JMM-0039.pdx.samp	phs003163	phs003163.v1.p1
file	dg.4DFC/03404139-440c-4a1c-9351-ed50ad03e169	dg.4DFC/03404139-440c-4a1c-9351-ed50ad03e169	RNA-Seq	C124261	FastQC html report for read 2. FastQC run on quality and adapter trimmed reads	Sample	C70699	6949-JMM-0085.trimmed.R2_fastqc.html	671826	HTML	C142380	s3://cds-515-phs003163-pivot-chop/chphiladelphia/jax_lab_files/rnaseq/6949-JMM-0085/stats/6949-JMM-0085.trimmed.R2_fastqc.html		e609c472d5528f67683cbd065c3ce1dc	2025-10-03T12:02:01Z	6949-JMM-0085.pdx.samp	phs003163	phs003163.v1.p1
