type	pdx_id	implantation_site	implantation_type	implantation_type_concept_code	model_id	mouse_strain	sample.sample_id	sample_type_for_implantation	study.phs_accession
pdx	6949-JMM-0042.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP018x_RH07-2x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0042	Not Reported	phs003163
pdx	6949-JMM-0042_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP018x_RH07-2x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0042_FP	Not Reported	phs003163
pdx	6949-JMM-0043.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP019x_RH07-3x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0043	Not Reported	phs003163
pdx	6949-JMM-0043_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP019x_RH07-3x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0043_FP	Not Reported	phs003163
pdx	6949-JMM-0044.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP020x_RH07-4x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0044	Not Reported	phs003163
pdx	6949-JMM-0044_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP020x_RH07-4x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0044_FP	Not Reported	phs003163
pdx	6949-JMM-0045.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP021x_RH07-5x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0045	Not Reported	phs003163
pdx	6949-JMM-0045_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP021x_RH07-5x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0045_FP	Not Reported	phs003163
pdx	6949-JMM-0046.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP030x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0046	Not Reported	phs003163
pdx	6949-JMM-0046_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP030x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0046_FP	Not Reported	phs003163
pdx	6949-JMM-0047.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP031x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0047	Not Reported	phs003163
pdx	6949-JMM-0047_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP031x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0047_FP	Not Reported	phs003163
pdx	6949-JMM-0048_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP036x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0048_FP	Not Reported	phs003163
pdx	6949-JMM-0049.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP037x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0049	Not Reported	phs003163
pdx	6949-JMM-0049_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP037x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0049_FP	Not Reported	phs003163
pdx	6949-JMM-0050.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP039x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0050	Not Reported	phs003163
pdx	6949-JMM-0050_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP039x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0050_FP	Not Reported	phs003163
pdx	6949-JMM-0051.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP040x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0051	Not Reported	phs003163
pdx	6949-JMM-0051_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP040x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0051_FP	Not Reported	phs003163
pdx	6949-JMM-0052.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP043x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0052	Not Reported	phs003163
pdx	6949-JMM-0052_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP043x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0052_2	Not Reported	phs003163
pdx	6949-JMM-0052_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP043x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0052_FP	Not Reported	phs003163
pdx	6949-JMM-0053.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-2x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0053	Not Reported	phs003163
pdx	6949-JMM-0053_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-2x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0053_2	Not Reported	phs003163
pdx	6949-JMM-0053_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-2x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0053_FP	Not Reported	phs003163
pdx	6949-JMM-0054.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0054	Not Reported	phs003163
pdx	6949-JMM-0054_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0054_2	Not Reported	phs003163
pdx	6949-JMM-0054_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0054_FP	Not Reported	phs003163
pdx	6949-JMM-0055.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0055	Not Reported	phs003163
pdx	6949-JMM-0055_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0055_2	Not Reported	phs003163
pdx	6949-JMM-0055_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Obelix-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0055_FP	Not Reported	phs003163
pdx	6949-JMM-0056.pdx	subcutaneous	Injection|Surgical	C149592|C201922	KWK-6062x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0056	Not Reported	phs003163
pdx	6949-JMM-0056_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	KWK-6062x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0056_2	Not Reported	phs003163
pdx	6949-JMM-0056_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	KWK-6062x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0056_FP	Not Reported	phs003163
pdx	6949-JMM-0057.pdx	subcutaneous	Injection|Surgical	C149592|C201922	N0619x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0057	Not Reported	phs003163
pdx	6949-JMM-0057_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	N0619x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0057_2	Not Reported	phs003163
pdx	6949-JMM-0057_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	N0619x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0057_FP	Not Reported	phs003163
pdx	6949-JMM-0058.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Lx_ALK-L-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0058	Not Reported	phs003163
pdx	6949-JMM-0058_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Lx_ALK-L-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0058_FP	Not Reported	phs003163
pdx	6949-JMM-0059.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Rx_ALK-R-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0059	Not Reported	phs003163
pdx	6949-JMM-0059_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Rx_ALK-R-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0059_2	Not Reported	phs003163
pdx	6949-JMM-0059_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Rx_ALK-R-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0059_FP	Not Reported	phs003163
pdx	6949-JMM-0060.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Fx_ALK-F-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0060	Not Reported	phs003163
pdx	6949-JMM-0060_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Fx_ALK-F-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0060_2	Not Reported	phs003163
pdx	6949-JMM-0060_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	Adam-Fx_ALK-F-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0060_FP	Not Reported	phs003163
pdx	6949-JMM-0061.pdx	subcutaneous	Injection|Surgical	C149592|C201922	YDLRx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0061	Not Reported	phs003163
pdx	6949-JMM-0061_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	YDLRx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0061_2	Not Reported	phs003163
pdx	6949-JMM-0061_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	YDLRx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0061_FP	Not Reported	phs003163
pdx	6949-JMM-0062.pdx	subcutaneous	Injection|Surgical	C149592|C201922	YDLFx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0062	Not Reported	phs003163
pdx	6949-JMM-0062_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	YDLFx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0062_FP	Not Reported	phs003163
pdx	6949-JMM-0063.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0063	Not Reported	phs003163
pdx	6949-JMM-0063_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0063_2	Not Reported	phs003163
pdx	6949-JMM-0063_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0063_FP	Not Reported	phs003163
pdx	6949-JMM-0064.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Lx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0064	Not Reported	phs003163
pdx	6949-JMM-0064_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Lx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0064_2	Not Reported	phs003163
pdx	6949-JMM-0064_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	HG-Lx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0064_FP	Not Reported	phs003163
pdx	6949-JMM-0065.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0065	Not Reported	phs003163
pdx	6949-JMM-0065_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0065_2	Not Reported	phs003163
pdx	6949-JMM-0065_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Rx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0065_FP	Not Reported	phs003163
pdx	6949-JMM-0066.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0066	Not Reported	phs003163
pdx	6949-JMM-0066_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0066_2	Not Reported	phs003163
pdx	6949-JMM-0066_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	JG-Fx	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0066_FP	Not Reported	phs003163
pdx	6949-JMM-0067.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP045x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0067	Not Reported	phs003163
pdx	6949-JMM-0067_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP045x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0067_2	Not Reported	phs003163
pdx	6949-JMM-0067_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP045x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0067_FP	Not Reported	phs003163
pdx	6949-JMM-0068.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-573x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0068	Not Reported	phs003163
pdx	6949-JMM-0068_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-573x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0068_2	Not Reported	phs003163
pdx	6949-JMM-0068_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-573x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0068_FP	Not Reported	phs003163
pdx	6949-JMM-0069.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-470x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0069	Not Reported	phs003163
pdx	6949-JMM-0069_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-470x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0069_2	Not Reported	phs003163
pdx	6949-JMM-0069_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	COG-N-470x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0069_FP	Not Reported	phs003163
pdx	6949-JMM-0070.pdx	subcutaneous	Injection|Surgical	C149592|C201922	LS_Luke-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0070	Not Reported	phs003163
pdx	6949-JMM-0070_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	LS_Luke-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0070_2	Not Reported	phs003163
pdx	6949-JMM-0070_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	LS_Luke-PDX	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0070_FP	Not Reported	phs003163
pdx	6949-JMM-0071.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP049x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0071	Not Reported	phs003163
pdx	6949-JMM-0071_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP049x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0071_FP	Not Reported	phs003163
pdx	6949-JMM-0072.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP053x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0072	Not Reported	phs003163
pdx	6949-JMM-0072_2.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP053x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0072_2	Not Reported	phs003163
pdx	6949-JMM-0072_FP.pdx	subcutaneous	Injection|Surgical	C149592|C201922	NP053x	"NSG, NOD.Cg-Prkdcscid Il2rgtm1Wjl/Sz    (establishment), CB17 SCID CB17/Icr-Prkdcscid/IcrIcoCrl (passage)"	6949-JMM-0072_FP	Not Reported	phs003163
