reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f691118-03d2-11ef-ade8-4fb1793bfcdf	dg.4DFC/6f691118-03d2-11ef-ade8-4fb1793bfcdf
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f69365c-03d2-11ef-9837-938eace178b7	dg.4DFC/6f69365c-03d2-11ef-9837-938eace178b7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f695bb4-03d2-11ef-a36a-df013c632af9	dg.4DFC/6f695bb4-03d2-11ef-a36a-df013c632af9
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6981f2-03d2-11ef-b009-efdef211a820	dg.4DFC/6f6981f2-03d2-11ef-b009-efdef211a820
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f69a704-03d2-11ef-a8ab-eb3cc70ff162	dg.4DFC/6f69a704-03d2-11ef-a8ab-eb3cc70ff162
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f69cbbc-03d2-11ef-8747-3f4dd7806948	dg.4DFC/6f69cbbc-03d2-11ef-8747-3f4dd7806948
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f69f1fa-03d2-11ef-b7dd-0f6193d16ef3	dg.4DFC/6f69f1fa-03d2-11ef-b7dd-0f6193d16ef3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6a193c-03d2-11ef-8f65-2b1ec770cdd8	dg.4DFC/6f6a193c-03d2-11ef-8f65-2b1ec770cdd8
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6a3f66-03d2-11ef-a79a-a7b282e7cb2f	dg.4DFC/6f6a3f66-03d2-11ef-a79a-a7b282e7cb2f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6a640a-03d2-11ef-b3d9-2ff7c3ec5ef2	dg.4DFC/6f6a640a-03d2-11ef-b3d9-2ff7c3ec5ef2
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6a8926-03d2-11ef-8d10-6b0e84acd134	dg.4DFC/6f6a8926-03d2-11ef-8d10-6b0e84acd134
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6aae9c-03d2-11ef-a4a6-43af80393513	dg.4DFC/6f6aae9c-03d2-11ef-a4a6-43af80393513
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ad7be-03d2-11ef-9e76-bb7a3c9bf057	dg.4DFC/6f6ad7be-03d2-11ef-9e76-bb7a3c9bf057
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6afd70-03d2-11ef-bb73-9bfc32fee3b6	dg.4DFC/6f6afd70-03d2-11ef-bb73-9bfc32fee3b6
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6b2296-03d2-11ef-bb44-7349e4563b9e	dg.4DFC/6f6b2296-03d2-11ef-bb44-7349e4563b9e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6b4af0-03d2-11ef-831c-cb66ec0348ca	dg.4DFC/6f6b4af0-03d2-11ef-831c-cb66ec0348ca
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6b70ca-03d2-11ef-9798-eb9556e44c63	dg.4DFC/6f6b70ca-03d2-11ef-9798-eb9556e44c63
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6b955a-03d2-11ef-a09f-7feabf74c40e	dg.4DFC/6f6b955a-03d2-11ef-a09f-7feabf74c40e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6bba8a-03d2-11ef-98ec-2f9cc4f03447	dg.4DFC/6f6bba8a-03d2-11ef-98ec-2f9cc4f03447
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6be118-03d2-11ef-9d13-5be1184dd805	dg.4DFC/6f6be118-03d2-11ef-9d13-5be1184dd805
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6c060c-03d2-11ef-ae41-f7a0dbea4522	dg.4DFC/6f6c060c-03d2-11ef-ae41-f7a0dbea4522
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6c2b5a-03d2-11ef-b034-4ba5150e5948	dg.4DFC/6f6c2b5a-03d2-11ef-b034-4ba5150e5948
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6c503a-03d2-11ef-95d9-b30ba5baf9dd	dg.4DFC/6f6c503a-03d2-11ef-95d9-b30ba5baf9dd
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6c761e-03d2-11ef-9a23-5fd40adcc797	dg.4DFC/6f6c761e-03d2-11ef-9a23-5fd40adcc797
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6c9f40-03d2-11ef-a8ec-c37005ed0967	dg.4DFC/6f6c9f40-03d2-11ef-a8ec-c37005ed0967
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6cc3ee-03d2-11ef-b209-0b7719983fd1	dg.4DFC/6f6cc3ee-03d2-11ef-b209-0b7719983fd1
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ce914-03d2-11ef-a4f6-cbdfd0786390	dg.4DFC/6f6ce914-03d2-11ef-a4f6-cbdfd0786390
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6d0ff2-03d2-11ef-8390-6b2982aa4a2e	dg.4DFC/6f6d0ff2-03d2-11ef-8390-6b2982aa4a2e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6d3518-03d2-11ef-af74-3360d6dc46c4	dg.4DFC/6f6d3518-03d2-11ef-af74-3360d6dc46c4
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6d59b2-03d2-11ef-bb30-5b192b674a97	dg.4DFC/6f6d59b2-03d2-11ef-bb30-5b192b674a97
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6d7eb0-03d2-11ef-989b-fba8e61b3e9b	dg.4DFC/6f6d7eb0-03d2-11ef-989b-fba8e61b3e9b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6da3c2-03d2-11ef-ada5-7f475e23a003	dg.4DFC/6f6da3c2-03d2-11ef-ada5-7f475e23a003
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6dc906-03d2-11ef-8d6c-d7fce1fee2a9	dg.4DFC/6f6dc906-03d2-11ef-8d6c-d7fce1fee2a9
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6dee18-03d2-11ef-9993-bb558fccba82	dg.4DFC/6f6dee18-03d2-11ef-9993-bb558fccba82
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6e1348-03d2-11ef-8931-6fc133b8bda1	dg.4DFC/6f6e1348-03d2-11ef-8931-6fc133b8bda1
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6e38aa-03d2-11ef-a989-cb3708a537d8	dg.4DFC/6f6e38aa-03d2-11ef-a989-cb3708a537d8
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6e5f6a-03d2-11ef-8034-37fb4711badf	dg.4DFC/6f6e5f6a-03d2-11ef-8034-37fb4711badf
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6e851c-03d2-11ef-8b38-abbc01dba3ff	dg.4DFC/6f6e851c-03d2-11ef-8b38-abbc01dba3ff
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ea9de-03d2-11ef-ae04-13f9532bfc72	dg.4DFC/6f6ea9de-03d2-11ef-ae04-13f9532bfc72
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ecefa-03d2-11ef-8be7-43eb1200c08d	dg.4DFC/6f6ecefa-03d2-11ef-8be7-43eb1200c08d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ef43e-03d2-11ef-8f7c-977299327b78	dg.4DFC/6f6ef43e-03d2-11ef-8f7c-977299327b78
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6f1a9a-03d2-11ef-910b-33da413a6ebd	dg.4DFC/6f6f1a9a-03d2-11ef-910b-33da413a6ebd
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6f416e-03d2-11ef-831c-cf7b27e03644	dg.4DFC/6f6f416e-03d2-11ef-831c-cf7b27e03644
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6f66e4-03d2-11ef-8a51-87404dd7be8b	dg.4DFC/6f6f66e4-03d2-11ef-8a51-87404dd7be8b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6f8e76-03d2-11ef-9cd6-4b346725c995	dg.4DFC/6f6f8e76-03d2-11ef-9cd6-4b346725c995
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6fb338-03d2-11ef-8cb4-cf360dc4a1af	dg.4DFC/6f6fb338-03d2-11ef-8cb4-cf360dc4a1af
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6fd890-03d2-11ef-8a7f-b3afba2e7e56	dg.4DFC/6f6fd890-03d2-11ef-8a7f-b3afba2e7e56
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f6ffd5c-03d2-11ef-99b3-43fd2a2b972f	dg.4DFC/6f6ffd5c-03d2-11ef-99b3-43fd2a2b972f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7023b8-03d2-11ef-afe3-cb8a0bf52395	dg.4DFC/6f7023b8-03d2-11ef-afe3-cb8a0bf52395
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f704870-03d2-11ef-84ad-e390a11b2bde	dg.4DFC/6f704870-03d2-11ef-84ad-e390a11b2bde
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f706d64-03d2-11ef-b3db-9b6145bce48f	dg.4DFC/6f706d64-03d2-11ef-b3db-9b6145bce48f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f70921c-03d2-11ef-8be9-2fb9f52e63c6	dg.4DFC/6f70921c-03d2-11ef-8be9-2fb9f52e63c6
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f70b8dc-03d2-11ef-82c3-2b06b72fb637	dg.4DFC/6f70b8dc-03d2-11ef-82c3-2b06b72fb637
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f70dd80-03d2-11ef-8202-6bdcf112862d	dg.4DFC/6f70dd80-03d2-11ef-8202-6bdcf112862d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f710242-03d2-11ef-b891-bbe858cc3eb5	dg.4DFC/6f710242-03d2-11ef-b891-bbe858cc3eb5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7126e6-03d2-11ef-89f9-c78f578c3b79	dg.4DFC/6f7126e6-03d2-11ef-89f9-c78f578c3b79
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f714c16-03d2-11ef-9868-6bc5bdd6dc52	dg.4DFC/6f714c16-03d2-11ef-9868-6bc5bdd6dc52
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f717236-03d2-11ef-b673-6bc6eff3921e	dg.4DFC/6f717236-03d2-11ef-b673-6bc6eff3921e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7197a2-03d2-11ef-b7ab-ffcb4fe045b5	dg.4DFC/6f7197a2-03d2-11ef-b7ab-ffcb4fe045b5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f71bd22-03d2-11ef-9ab4-375086fd515e	dg.4DFC/6f71bd22-03d2-11ef-9ab4-375086fd515e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f71e2ca-03d2-11ef-b978-2b219557acc4	dg.4DFC/6f71e2ca-03d2-11ef-b978-2b219557acc4
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f720cc8-03d2-11ef-80e5-5bd6403a2b20	dg.4DFC/6f720cc8-03d2-11ef-80e5-5bd6403a2b20
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f723194-03d2-11ef-8ffe-f388fc8db510	dg.4DFC/6f723194-03d2-11ef-8ffe-f388fc8db510
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f72561a-03d2-11ef-a425-aff8eff7954a	dg.4DFC/6f72561a-03d2-11ef-a425-aff8eff7954a
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f727b5e-03d2-11ef-93f8-cb5fc6c7af3a	dg.4DFC/6f727b5e-03d2-11ef-93f8-cb5fc6c7af3a
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f72a192-03d2-11ef-9d99-5b2d2ad00835	dg.4DFC/6f72a192-03d2-11ef-9d99-5b2d2ad00835
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f72c64a-03d2-11ef-95aa-e37b1987ab5f	dg.4DFC/6f72c64a-03d2-11ef-95aa-e37b1987ab5f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f72eab2-03d2-11ef-82ec-2bd6480bbed0	dg.4DFC/6f72eab2-03d2-11ef-82ec-2bd6480bbed0
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7315dc-03d2-11ef-9564-43b43816c163	dg.4DFC/6f7315dc-03d2-11ef-9564-43b43816c163
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f733c60-03d2-11ef-ba5f-6b172ecfaad5	dg.4DFC/6f733c60-03d2-11ef-ba5f-6b172ecfaad5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f736118-03d2-11ef-bea2-07c22265526e	dg.4DFC/6f736118-03d2-11ef-bea2-07c22265526e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f73859e-03d2-11ef-a4e3-bf3aca173a33	dg.4DFC/6f73859e-03d2-11ef-a4e3-bf3aca173a33
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f73aaa6-03d2-11ef-9c2f-b3326675d869	dg.4DFC/6f73aaa6-03d2-11ef-9c2f-b3326675d869
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f73d0f8-03d2-11ef-bb54-d78ce0161037	dg.4DFC/6f73d0f8-03d2-11ef-bb54-d78ce0161037
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f73f5ba-03d2-11ef-b815-6b3428ea2000	dg.4DFC/6f73f5ba-03d2-11ef-b815-6b3428ea2000
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f741a68-03d2-11ef-9211-ffad53f0f2c3	dg.4DFC/6f741a68-03d2-11ef-9211-ffad53f0f2c3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f743f3e-03d2-11ef-94db-a3da236137c5	dg.4DFC/6f743f3e-03d2-11ef-94db-a3da236137c5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7465d6-03d2-11ef-af49-531b19be427c	dg.4DFC/6f7465d6-03d2-11ef-af49-531b19be427c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f748ae8-03d2-11ef-973f-57a41136668c	dg.4DFC/6f748ae8-03d2-11ef-973f-57a41136668c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f74afbe-03d2-11ef-a180-7b4e4b0c1107	dg.4DFC/6f74afbe-03d2-11ef-a180-7b4e4b0c1107
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f74d548-03d2-11ef-95e6-078dafc343b2	dg.4DFC/6f74d548-03d2-11ef-95e6-078dafc343b2
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f74fadc-03d2-11ef-8b3e-a739ff6c0405	dg.4DFC/6f74fadc-03d2-11ef-8b3e-a739ff6c0405
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f752138-03d2-11ef-ae26-c3fd9aa704e5	dg.4DFC/6f752138-03d2-11ef-ae26-c3fd9aa704e5
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f7545fa-03d2-11ef-9c38-9f3fe3d94d01	dg.4DFC/6f7545fa-03d2-11ef-9c38-9f3fe3d94d01
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f756ac6-03d2-11ef-9000-2370aacc86e4	dg.4DFC/6f756ac6-03d2-11ef-9000-2370aacc86e4
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	Inverse rRNA	Illumina	Illumina NextSeq	genomic_info	dg.4DFC/6f758f88-03d2-11ef-b60b-af27abc50465	dg.4DFC/6f758f88-03d2-11ef-b60b-af27abc50465
