id	sample.id	UMI_barcode_offset	UMI_barcode_read	UMI_barcode_size	acl	authz	avg_read_length	cDNA_read	cDNA_read_offset	cDNA_read_size	cell_barcode_offset	cell_barcode_read	cell_barcode_size	checksum_algorithm	checksum_value	coverage	custom_assembly_fasta_file_for_alignment	dcf_indexd_guid	design_description	dissociation_method	end_bias	file_access	file_description	file_mapping_level	file_name	file_size	file_type	file_url	instrument_model	library_construction_method	library_id	library_layout	library_selection	library_source_material	library_source_molecule	library_strand	library_strategy	md5sum	number_of_bp	number_of_reads	platform	protocols_link	reference_genome_assembly	reverse_transcription_primer	sequence_alignment_software	sequencing_file_id	single_cell_entity	spike_in	study	total_number_of_input_cells	updated	type
phs002504::SJAML040915_D1.bam.bai	phs002504::SJAML040915_D1				['phs002504']	['/programs/phs002504']	91.0									48.55121336		dg.4DFC/93937304-7b39-4430-85fa-beab8cfd9b52	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322			Controlled	PCR WXS	Sample	SJAML040915_D1.bam.bai	6412464	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJAML040915_D1.bam.bai	Illumina HiSeq 2000		SJAML040915_D1.WXS	Paired end	PCR	Not Reported	Genomic		WXS	6b4b3227289187cb137b0bb70509548a	160000000000	176105341	Illumina		GRCh37			SJAML040915_D1.bam.bai			phs002504			sequencing_file
phs002504::SJAML040915_G1.bam	phs002504::SJAML040915_G1				['phs002504']	['/programs/phs002504']	89.0									5.346385488		dg.4DFC/6b355584-1a5b-4c5f-ba6b-1d865b064229	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322			Controlled	PCR WXS	Sample	SJAML040915_G1.bam	12273064800	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJAML040915_G1.bam	Illumina HiSeq 2000		SJAML040915_G1.WXS	Paired end	PCR	Not Reported	Genomic		WXS	76caad2791e169da9e14a81db109ad9f	17637255576	196385146	Illumina		GRCh37			SJAML040915_G1.bam			phs002504			sequencing_file
phs002504::SJAML040915_G1.bam.bai	phs002504::SJAML040915_G1				['phs002504']	['/programs/phs002504']	89.0									5.346385488		dg.4DFC/c26ddebc-3756-4396-9cbf-a1207623922e	RNA and DNA library construction for RNA and whole-exome DNA sequencing was performed according to the manufacturer's instructions using the Illumina TruSeq RNA sample preparation V2 and Nextera rapid capture exome kits, respectively. Sequencing was completed on the Illumina HiSeq 2000 according to the manufacturer's instructions. :: PMID: 34939322			Controlled	PCR WXS	Sample	SJAML040915_G1.bam.bai	6584400	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJAML040915_G1.bam.bai	Illumina HiSeq 2000		SJAML040915_G1.WXS	Paired end	PCR	Not Reported	Genomic		WXS	867bd52657c1067051e0f926b6708044	17637255576	196385146	Illumina		GRCh37			SJAML040915_G1.bam.bai			phs002504			sequencing_file
phs002504::SJJMML014755_R1.bam	phs002504::SJJMML259R				['phs002504']	['/programs/phs002504']	149.0									547.9399718		dg.4DFC/4a50428e-a34c-48d3-a0c6-b7b03d0ec137	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014755_R1.bam	16206623	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014755_R1.bam	Illumina MiSeq		SJJMML259R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	6c470a0edf70c4afe48ed0bd1f2636cf	27238096	181597	Illumina		GRCh37			SJJMML014755_R1.bam			phs002504			sequencing_file
phs002504::SJJMML014755_R1.bam.bai	phs002504::SJJMML259R				['phs002504']	['/programs/phs002504']	149.0									547.9399718		dg.4DFC/ff4a9608-06ec-47bc-bb67-38c5de45c4ff	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014755_R1.bam.bai	626664	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014755_R1.bam.bai	Illumina MiSeq		SJJMML259R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	a2a291e24888ce41104610f92cedb624	27238096	181597	Illumina		GRCh37			SJJMML014755_R1.bam.bai			phs002504			sequencing_file
phs002504::SJJMML014756_R1.bam	phs002504::SJJMML276R				['phs002504']	['/programs/phs002504']	149.0									547.9399718		dg.4DFC/f5460110-5f0f-4ae0-a174-62f30671001c	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014756_R1.bam	40055270	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014756_R1.bam	Illumina MiSeq		SJJMML276R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	b74749ccab4094e73caa3ac96a0647cf	27238096	181597	Illumina		GRCh37			SJJMML014756_R1.bam			phs002504			sequencing_file
phs002504::SJJMML014756_R1.bam.bai	phs002504::SJJMML276R				['phs002504']	['/programs/phs002504']	149.0									547.9399718		dg.4DFC/5dace5ec-6be7-4582-ad5d-51f3e84b7319	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014756_R1.bam.bai	637256	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014756_R1.bam.bai	Illumina MiSeq		SJJMML276R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	4fcac877986bef93d68d1143668a0654	27238096	181597	Illumina		GRCh37			SJJMML014756_R1.bam.bai			phs002504			sequencing_file
phs002504::SJJMML014757_R1.bam	phs002504::SJJMML313R				['phs002504']	['/programs/phs002504']	149.0									2000.565661		dg.4DFC/c16eb245-3f87-4f5e-9677-5773652330d8	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014757_R1.bam	54965137	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014757_R1.bam	Illumina MiSeq		SJJMML313R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	b55a1bd7187f006423184215c06860a1	99448119	663008	Illumina		GRCh37			SJJMML014757_R1.bam			phs002504			sequencing_file
phs002504::SJJMML014757_R1.bam.bai	phs002504::SJJMML313R				['phs002504']	['/programs/phs002504']	149.0									2000.565661		dg.4DFC/4889e3c2-c711-4039-b968-94c661c00727	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014757_R1.bam.bai	636672	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014757_R1.bam.bai	Illumina MiSeq		SJJMML313R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	6b6a33c1be9bc53ac622e706768a4808	99448119	663008	Illumina		GRCh37			SJJMML014757_R1.bam.bai			phs002504			sequencing_file
phs002504::SJJMML014758_R1.bam	phs002504::SJJMML384R				['phs002504']	['/programs/phs002504']	149.0									1369.059646		dg.4DFC/3090d497-d35e-4bca-a105-a8a6c28acfe4	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014758_R1.bam	37925740	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014758_R1.bam	Illumina MiSeq		SJJMML384R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	3591beab35d7d9b4bb3db2a980bbdb4e	68055955	453721	Illumina		GRCh37			SJJMML014758_R1.bam			phs002504			sequencing_file
phs002504::SJJMML014758_R1.bam.bai	phs002504::SJJMML384R				['phs002504']	['/programs/phs002504']	149.0									1369.059646		dg.4DFC/35f600e8-165c-4bc6-b444-3be63732113d	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014758_R1.bam.bai	701768	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014758_R1.bam.bai	Illumina MiSeq		SJJMML384R.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	c656a06b09ca5193552d49ea2b17a58a	68055955	453721	Illumina		GRCh37			SJJMML014758_R1.bam.bai			phs002504			sequencing_file
phs002504::SJJMML014759_D1.bam	phs002504::SJJMML295D				['phs002504']	['/programs/phs002504']	149.0									303.891209		dg.4DFC/4fbe7c99-44bc-4bdc-91cd-6fd3908695ac	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014759_D1.bam	8539511	bam	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014759_D1.bam	Illumina MiSeq		SJJMML295D.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	85bd852a0786c5dad1f7b50cc18cb60d	15106432	100716	Illumina		GRCh37			SJJMML014759_D1.bam			phs002504			sequencing_file
phs002504::SJJMML014759_D1.bam.bai	phs002504::SJJMML295D				['phs002504']	['/programs/phs002504']	149.0									303.891209		dg.4DFC/4099ddfa-eac7-4dae-9333-2796f7972475	Whole exome sequencing was performed utilizing the Illumina platform as described previously. In brief, DNA was fragmented by sonication (Covaris Inc., Woburn, MA) to 150 bp and further purified using Agencourt AMPure XP beads. Fifty ng of size-selected DNA was then ligated to specific adaptors during library preparation (Illumina TruSeq, Illumina Inc., San Diego, CA). Each library was made with sample-specific barcodes and quantified by quantitative PCR (Kapa Biosystems, Inc., Woburn, MA), and two libraries were pooled to a total of 500 ng for exome enrichment using the Agilent SureSelect hybrid capture kit (Whole Exome_v1.1; Agilent Technologies, Santa Clara, CA). Several captures were pooled further and sequenced in one or more lanes to a final equivalent of two exomes per lane on a HiSeq 2500 system (Illumina Inc., San Diego, CA). :: PMID: 26457647			Controlled	PCR AMPLICON	Sample	SJJMML014759_D1.bam.bai	654400	bam_index	s3://cds-256-phs002504-sequencefiles-p30-fy20/SJJMML014759_D1.bam.bai	Illumina MiSeq		SJJMML295D.Amplicon	Paired end	PCR	Not Reported	Genomic		AMPLICON	3ab77df94b315947c1c0e2982425b92c	15106432	100716	Illumina		GRCh37			SJJMML014759_D1.bam.bai			phs002504			sequencing_file
