reference_genome_assembly	library_strategy	library_layout	library_source	library_selection	platform	instrument_model	type	genomic_info_id	file.file_id
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b3c036-d257-11ee-8a01-17805aabad7c	dg.4DFC/59b3c036-d257-11ee-8a01-17805aabad7c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b3e516-d257-11ee-9569-d3bad95ddab3	dg.4DFC/59b3e516-d257-11ee-9569-d3bad95ddab3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b4096a-d257-11ee-8466-e7df2d62be08	dg.4DFC/59b4096a-d257-11ee-8466-e7df2d62be08
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b42db4-d257-11ee-9906-d78a213c1237	dg.4DFC/59b42db4-d257-11ee-9906-d78a213c1237
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b450f0-d257-11ee-acc7-b35f06de2cb8	dg.4DFC/59b450f0-d257-11ee-acc7-b35f06de2cb8
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b475ee-d257-11ee-b0f8-cbbf28e54948	dg.4DFC/59b475ee-d257-11ee-b0f8-cbbf28e54948
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b49b1e-d257-11ee-9cc4-d7179f11babd	dg.4DFC/59b49b1e-d257-11ee-9cc4-d7179f11babd
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b4c06c-d257-11ee-8d08-171c11862369	dg.4DFC/59b4c06c-d257-11ee-8d08-171c11862369
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b4e420-d257-11ee-92ff-8f4f94b5fbf0	dg.4DFC/59b4e420-d257-11ee-92ff-8f4f94b5fbf0
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b50856-d257-11ee-a01c-2b6070087ab0	dg.4DFC/59b50856-d257-11ee-a01c-2b6070087ab0
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b52c82-d257-11ee-b7dd-ab8dfd722ad6	dg.4DFC/59b52c82-d257-11ee-b7dd-ab8dfd722ad6
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b55040-d257-11ee-98a6-1371b1041a64	dg.4DFC/59b55040-d257-11ee-98a6-1371b1041a64
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b57430-d257-11ee-ab59-f33be5869174	dg.4DFC/59b57430-d257-11ee-ab59-f33be5869174
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b598d4-d257-11ee-aa0e-4f26d48c332f	dg.4DFC/59b598d4-d257-11ee-aa0e-4f26d48c332f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b5bf44-d257-11ee-af24-03083ce58c61	dg.4DFC/59b5bf44-d257-11ee-af24-03083ce58c61
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b5e2a8-d257-11ee-8a42-7f91291b98b9	dg.4DFC/59b5e2a8-d257-11ee-8a42-7f91291b98b9
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b60724-d257-11ee-9d36-c36802c35a32	dg.4DFC/59b60724-d257-11ee-9d36-c36802c35a32
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b63140-d257-11ee-bf42-4be16e08b4a9	dg.4DFC/59b63140-d257-11ee-bf42-4be16e08b4a9
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b7082c-d257-11ee-83dc-fb4734207bd1	dg.4DFC/59b7082c-d257-11ee-83dc-fb4734207bd1
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b72dde-d257-11ee-8259-a7781f56998c	dg.4DFC/59b72dde-d257-11ee-8259-a7781f56998c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b7526e-d257-11ee-8cb9-9303f2dc8511	dg.4DFC/59b7526e-d257-11ee-8cb9-9303f2dc8511
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b779ce-d257-11ee-9020-5f837a802686	dg.4DFC/59b779ce-d257-11ee-9020-5f837a802686
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b79d6e-d257-11ee-bb09-af5f8f3bc7e2	dg.4DFC/59b79d6e-d257-11ee-bb09-af5f8f3bc7e2
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b7c15e-d257-11ee-9946-6346b35a421c	dg.4DFC/59b7c15e-d257-11ee-9946-6346b35a421c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b7e59e-d257-11ee-aace-13966cae9423	dg.4DFC/59b7e59e-d257-11ee-aace-13966cae9423
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b808f8-d257-11ee-b936-1f956bdfde77	dg.4DFC/59b808f8-d257-11ee-b936-1f956bdfde77
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b82d60-d257-11ee-864e-af3c715d12c4	dg.4DFC/59b82d60-d257-11ee-864e-af3c715d12c4
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b8511e-d257-11ee-91d0-5739ce606474	dg.4DFC/59b8511e-d257-11ee-91d0-5739ce606474
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b87504-d257-11ee-a06e-2fcb46e9db5f	dg.4DFC/59b87504-d257-11ee-a06e-2fcb46e9db5f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b89d2c-d257-11ee-b8ef-bf25774e221f	dg.4DFC/59b89d2c-d257-11ee-b8ef-bf25774e221f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b8c388-d257-11ee-a70c-cf4f0bf98c51	dg.4DFC/59b8c388-d257-11ee-a70c-cf4f0bf98c51
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b8e700-d257-11ee-aa8d-33d5a24dae72	dg.4DFC/59b8e700-d257-11ee-aa8d-33d5a24dae72
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b90ab4-d257-11ee-9071-2b34acf6cbaf	dg.4DFC/59b90ab4-d257-11ee-9071-2b34acf6cbaf
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b92eb8-d257-11ee-81c1-e76c8b7a1790	dg.4DFC/59b92eb8-d257-11ee-81c1-e76c8b7a1790
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b9542e-d257-11ee-aced-3ff2f4af1c52	dg.4DFC/59b9542e-d257-11ee-aced-3ff2f4af1c52
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b97828-d257-11ee-bfc9-5b408365c23c	dg.4DFC/59b97828-d257-11ee-bfc9-5b408365c23c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b99c2c-d257-11ee-a795-f39c334bcba6	dg.4DFC/59b99c2c-d257-11ee-a795-f39c334bcba6
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b9c026-d257-11ee-a8c5-0304ccb6cf50	dg.4DFC/59b9c026-d257-11ee-a8c5-0304ccb6cf50
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59b9e646-d257-11ee-b055-3313806f2ab3	dg.4DFC/59b9e646-d257-11ee-b055-3313806f2ab3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59ba0a36-d257-11ee-ba51-afbd18189a8a	dg.4DFC/59ba0a36-d257-11ee-ba51-afbd18189a8a
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59ba2dc2-d257-11ee-8719-a3b8b937486c	dg.4DFC/59ba2dc2-d257-11ee-8719-a3b8b937486c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59ba5252-d257-11ee-9a23-3746d23d8e0e	dg.4DFC/59ba5252-d257-11ee-9a23-3746d23d8e0e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59ba75fc-d257-11ee-b798-5f4a6a243d10	dg.4DFC/59ba75fc-d257-11ee-b798-5f4a6a243d10
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59ba9aa0-d257-11ee-8429-57fadfc8874f	dg.4DFC/59ba9aa0-d257-11ee-8429-57fadfc8874f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bac002-d257-11ee-bd7e-87fe1555c4ca	dg.4DFC/59bac002-d257-11ee-bd7e-87fe1555c4ca
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bae5aa-d257-11ee-a0c6-db8b4196edfd	dg.4DFC/59bae5aa-d257-11ee-a0c6-db8b4196edfd
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bb09a4-d257-11ee-8070-5787b18ff0fa	dg.4DFC/59bb09a4-d257-11ee-8070-5787b18ff0fa
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bb30be-d257-11ee-a9d5-ffbd1405edbe	dg.4DFC/59bb30be-d257-11ee-a9d5-ffbd1405edbe
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bb540e-d257-11ee-84cf-bf29dca0e000	dg.4DFC/59bb540e-d257-11ee-84cf-bf29dca0e000
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bb786c-d257-11ee-9a3c-d3bb5bf6db53	dg.4DFC/59bb786c-d257-11ee-9a3c-d3bb5bf6db53
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bb9cca-d257-11ee-bd68-2be82f67123b	dg.4DFC/59bb9cca-d257-11ee-bd68-2be82f67123b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bbc1dc-d257-11ee-ac77-a3a4c450bf59	dg.4DFC/59bbc1dc-d257-11ee-ac77-a3a4c450bf59
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bbe55e-d257-11ee-af4e-dbbda46a8744	dg.4DFC/59bbe55e-d257-11ee-af4e-dbbda46a8744
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bc08e0-d257-11ee-947e-1b16e8f2fa3e	dg.4DFC/59bc08e0-d257-11ee-947e-1b16e8f2fa3e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bc2cda-d257-11ee-8e9f-3f632890e631	dg.4DFC/59bc2cda-d257-11ee-8e9f-3f632890e631
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bc50fc-d257-11ee-af2a-77934b4b7acb	dg.4DFC/59bc50fc-d257-11ee-af2a-77934b4b7acb
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bc79f6-d257-11ee-9aab-8b150a81bc3d	dg.4DFC/59bc79f6-d257-11ee-9aab-8b150a81bc3d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bc9da0-d257-11ee-8059-33580731d4f3	dg.4DFC/59bc9da0-d257-11ee-8059-33580731d4f3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bcc186-d257-11ee-8880-03b00b6fec4b	dg.4DFC/59bcc186-d257-11ee-8880-03b00b6fec4b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bce558-d257-11ee-b9c8-eb427d9525ae	dg.4DFC/59bce558-d257-11ee-b9c8-eb427d9525ae
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bd0ace-d257-11ee-9083-6350ed46e904	dg.4DFC/59bd0ace-d257-11ee-9083-6350ed46e904
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bd2e3c-d257-11ee-b3bf-c7a2c10f2019	dg.4DFC/59bd2e3c-d257-11ee-b3bf-c7a2c10f2019
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bd531c-d257-11ee-84b3-b3aa7d50f168	dg.4DFC/59bd531c-d257-11ee-84b3-b3aa7d50f168
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bd764e-d257-11ee-a347-9b8298034b0f	dg.4DFC/59bd764e-d257-11ee-a347-9b8298034b0f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bd9aac-d257-11ee-8329-839adc32589b	dg.4DFC/59bd9aac-d257-11ee-8329-839adc32589b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bdbe38-d257-11ee-8502-d3168179da93	dg.4DFC/59bdbe38-d257-11ee-8502-d3168179da93
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bde188-d257-11ee-8be0-df43e7378f3c	dg.4DFC/59bde188-d257-11ee-8be0-df43e7378f3c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59be0654-d257-11ee-bffd-5bf8c6bc38bf	dg.4DFC/59be0654-d257-11ee-bffd-5bf8c6bc38bf
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59be2b52-d257-11ee-b1e6-d3f717d10cbe	dg.4DFC/59be2b52-d257-11ee-b1e6-d3f717d10cbe
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59be4fb0-d257-11ee-b960-2fe65f331414	dg.4DFC/59be4fb0-d257-11ee-b960-2fe65f331414
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59be7396-d257-11ee-ba75-574fc8cfad99	dg.4DFC/59be7396-d257-11ee-ba75-574fc8cfad99
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59be983a-d257-11ee-85a6-0f7f523f1860	dg.4DFC/59be983a-d257-11ee-85a6-0f7f523f1860
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bebbc6-d257-11ee-8e0b-db45bb29cb12	dg.4DFC/59bebbc6-d257-11ee-8e0b-db45bb29cb12
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bee114-d257-11ee-8312-07ccfe67b6b2	dg.4DFC/59bee114-d257-11ee-8312-07ccfe67b6b2
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bf0536-d257-11ee-a3ae-8b8de4e9b42c	dg.4DFC/59bf0536-d257-11ee-a3ae-8b8de4e9b42c
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bf2dc2-d257-11ee-af33-330ac974cc01	dg.4DFC/59bf2dc2-d257-11ee-af33-330ac974cc01
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bf51d0-d257-11ee-9920-23d2adae26e8	dg.4DFC/59bf51d0-d257-11ee-9920-23d2adae26e8
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bf7bba-d257-11ee-b30f-37e90fd50acc	dg.4DFC/59bf7bba-d257-11ee-b30f-37e90fd50acc
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bf9f00-d257-11ee-9bc7-ef6c37c91c5b	dg.4DFC/59bf9f00-d257-11ee-9bc7-ef6c37c91c5b
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bfc30e-d257-11ee-a03e-2f0c8c5e9c4d	dg.4DFC/59bfc30e-d257-11ee-a03e-2f0c8c5e9c4d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59bfe6e0-d257-11ee-be2d-1f313d5e050d	dg.4DFC/59bfe6e0-d257-11ee-be2d-1f313d5e050d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c00ba2-d257-11ee-8db3-0fc75c6581e3	dg.4DFC/59c00ba2-d257-11ee-8db3-0fc75c6581e3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c02efc-d257-11ee-88a1-770b0d3d3e0d	dg.4DFC/59c02efc-d257-11ee-88a1-770b0d3d3e0d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c052c4-d257-11ee-9424-dfbb53473d97	dg.4DFC/59c052c4-d257-11ee-9424-dfbb53473d97
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c07844-d257-11ee-8680-d34b715c8859	dg.4DFC/59c07844-d257-11ee-8680-d34b715c8859
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c09ce8-d257-11ee-b341-6fd6322158a8	dg.4DFC/59c09ce8-d257-11ee-b341-6fd6322158a8
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c0c09c-d257-11ee-9026-0f6e633d0e6e	dg.4DFC/59c0c09c-d257-11ee-9026-0f6e633d0e6e
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c0e554-d257-11ee-809c-277e9cc6a1e7	dg.4DFC/59c0e554-d257-11ee-809c-277e9cc6a1e7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c10a8e-d257-11ee-bf79-3beda2785e4f	dg.4DFC/59c10a8e-d257-11ee-bf79-3beda2785e4f
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c12e92-d257-11ee-abee-a7fe0464b25d	dg.4DFC/59c12e92-d257-11ee-abee-a7fe0464b25d
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c15390-d257-11ee-a844-c7af49e0c6fe	dg.4DFC/59c15390-d257-11ee-a844-c7af49e0c6fe
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c17816-d257-11ee-9a89-2bc056d042f1	dg.4DFC/59c17816-d257-11ee-9a89-2bc056d042f1
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c19c74-d257-11ee-b67c-f3ac47e75ed3	dg.4DFC/59c19c74-d257-11ee-b67c-f3ac47e75ed3
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c1c032-d257-11ee-ae7a-17a19e23ba13	dg.4DFC/59c1c032-d257-11ee-ae7a-17a19e23ba13
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c1e698-d257-11ee-afbe-4b774bd5afe7	dg.4DFC/59c1e698-d257-11ee-afbe-4b774bd5afe7
Not specified in data	RNA-Seq	Paired-End	Transcriptomic Single Cell	other	Illumina	Illumina NextSeq 500	genomic_info	dg.4DFC/59c20ac4-d257-11ee-9082-4bb77d0c2d4a	dg.4DFC/59c20ac4-d257-11ee-9082-4bb77d0c2d4a
