type	 case.case_id	 study.clinical_study_designation	 sample.sample_id	 diagnosis.diagnosis_id	file_name	file_type	file_description	original_file_size	original_md5sum			
file			OSA04-F-Tumor		OSA04-F-Tumor_1_SL325670.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-F-Tumor (read 1)	1501873273	e2ffbd90a4ae76387ffff087a401094d			
file			OSA04-F-Tumor		OSA04-F-Tumor_2_SL325670.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-F-Tumor (read 2)	1539965472	73bfdb6e616447d3dd075dcb9075b30e			
file			OSA04-F-Normal		OSA04-F-Normal_1_SL325671.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-F-Normal (read 1)	1722669909	e4d116c66c739e53efd3b9ad9eec51f6			
file			OSA04-F-Normal		OSA04-F-Normal_2_SL325671.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-F-Normal (read 2)	1779662340	6fb287456f791bcaf38017539f88461a			
file			OSA04-G-Tumor		OSA04-G-Tumor_1_SL325666.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-G-Tumor (read 1)	1507173766	ea33dfb30acd4d98d0c7132915993931			
file			OSA04-G-Tumor		OSA04-G-Tumor_2_SL325666.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-G-Tumor (read 2)	1544596954	768beae4df6394145f7249b452f2875f			
file			OSA04-G-Normal		OSA04-G-Normal_1_SL325667.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-G-Normal (read 1)	1654563643	d832f2c322e8ca53b2deeaaefff69770			
file			OSA04-G-Normal		OSA04-G-Normal_2_SL325667.fastq.gz	RNA Sequence File	Raw RNA sequence file for OSA04-G-Normal (read 2)	1713418006	92e920f444aaad3074d815480f9ddcb5			
file			OSA04-C-Tumor		OSA04-C-Tumor_filtered_feature_bc_matrix.h5	scH5 Matrix File	Single-nuclei multiome sequencing filtered H5 matrix file for OSA04-C-Tumor	66488728	c8ea151e2874f3b5f3e2c9c70fb33870			
file			OSA04-C-Tumor		OSA04-C-Tumor_features.tsv.gz	scRNA Sequence File	Single-nuclei multiome sequencing features for OSA04-C-Tumor	2240364	59518e88832de8afb87d999a3fcac31e			
file			OSA04-C-Tumor		OSA04-C-Tumor_barcodes.tsv.gz	scRNA Sequence File	Single-nuclei multiome sequencing barcodes file for OSA04-C-Tumor	24849	ccd89498d20540f90ca97a9e86b3ab64			
file			OSA04-C-Tumor		OSA04-C-Tumor_atac_fragments.tsv.gz	scATAC Sequence File	Single-nuclei multiome sequencing ATAC fragments file for OSA04-C-Tumor	1920882177	7717750891426a5de75ca4b54c7ba3cd			
